 1-(3)海上出入貨物の主要品種別表,,,,,,,,（単位：トン）
,,品目,当月,,,１月以降累計,,
,,,当年,対前年比,前年,当年,対前年比,前年
外貿貨物,輸出,合計,"805,196",88.9%,"906,141","805,196",88.9%,"906,141"
,,その他化学工業品,"121,210",88.5%,"136,950","121,210",88.5%,"136,950"
,,産業機械,"119,504",83.8%,"142,689","119,504",83.8%,"142,689"
,,再利用資材,"110,143",80.3%,"137,185","110,143",80.3%,"137,185"
,,自動車部品,"98,915",101.7%,"97,270","98,915",101.7%,"97,270"
,,電気機械,"41,863",85.4%,"49,032","41,863",85.4%,"49,032"
,,金属くず,"35,687",131.9%,"27,049","35,687",131.9%,"27,049"
,,ゴム製品,"22,806",75.3%,"30,298","22,806",75.3%,"30,298"
,,化学薬品,"21,470",93.4%,"22,985","21,470",93.4%,"22,985"
,輸入,合計,"3,048,442",99.4%,"3,066,673","3,048,442",99.4%,"3,066,673"
,,衣服・身廻品・はきもの,"393,227",99.4%,"395,417","393,227",99.4%,"395,417"
,,電気機械,"281,462",108.7%,"258,862","281,462",108.7%,"258,862"
,,製造食品,"201,737",100.9%,"199,840","201,737",100.9%,"199,840"
,,家具装備品,"200,357",99.6%,"201,187","200,357",99.6%,"201,187"
,,その他化学工業品,"200,335",102.0%,"196,419","200,335",102.0%,"196,419"
,,野菜・果物,"131,114",86.6%,"151,333","131,114",86.6%,"151,333"
,,金属製品,"127,751",107.5%,"118,874","127,751",107.5%,"118,874"
,,産業機械,"127,646",102.8%,"124,159","127,646",102.8%,"124,159"
内貿貨物,移出,合計,"1,122,618",91.1%,"1,232,454","1,122,618",91.1%,"1,232,454"
,,完成自動車,"597,107",103.5%,"577,045","597,107",103.5%,"577,045"
,,取合せ品,"220,873",96.3%,"229,458","220,873",96.3%,"229,458"
,,廃土砂,"73,055",51.7%,"141,319","73,055",51.7%,"141,319"
,,紙・パ　ル　プ,"24,092",125.4%,"19,208","24,092",125.4%,"19,208"
,,重油,"20,417",132.2%,"15,448","20,417",132.2%,"15,448"
,,飲料,"18,976",83.8%,"22,656","18,976",83.8%,"22,656"
,,再利用資材,"18,239",62.8%,"29,022","18,239",62.8%,"29,022"
,,製造食品,"16,664",104.9%,"15,893","16,664",104.9%,"15,893"
,移入,合計,"2,017,227",104.6%,"1,929,274","2,017,227",104.6%,"1,929,274"
,,完成自動車,"447,502",111.0%,"403,084","447,502",111.0%,"403,084"
,,その他の石油,"394,806",103.5%,"381,638","394,806",103.5%,"381,638"
,,砂利・砂,"320,175",105.1%,"304,760","320,175",105.1%,"304,760"
,,セメント,"222,436",99.3%,"224,115","222,436",99.3%,"224,115"
,,取合せ品,"167,511",97.7%,"171,391","167,511",97.7%,"171,391"
,,紙・パ　ル　プ,"122,031",102.2%,"119,365","122,031",102.2%,"119,365"
,,鋼材,"89,084",106.4%,"83,692","89,084",106.4%,"83,692"
,,石材,"73,833",102.6%,"71,965","73,833",102.6%,"71,965"
,（注）,その他化学工業品は、染料・塗料・合成樹脂・その他化学工業品の略,,,,,,
,,文房具・運動娯楽用品は、文房具・運動娯楽用品・楽器の略,,,,,,
,,木製品は、木製品（他に分類されないもの）の略,,,,,,
