区分１,区分２,区分３,R3,R2,R1,30,29
定例監査,本庁,対象（箇所）,142,138,138,137,137
定例監査,本庁,実施,142,135,138,137,137
定例監査,事業所,対象（箇所）,740,741,741,742,744
定例監査,事業所,実施,174,272,299,312,311
定例監査,計,対象（箇所）,882,879,879,879,881
定例監査,計,実施,316,407,437,449,448
定例監査,計,実施率（％）,35.8,46.3,49.7,51.1,50.9
定例監査,指摘事項（件）,,70,69,68,111,143
定例監査,意見・要望事項（件）,,4,7,11,4,10
工事監査,実施件数（件）,,1310,"1,223","1,645","1,574","1,631"
工事監査,金額（百万円）,,714832,"848,975","1,077,012","955,869","1,008,883"
工事監査,指摘事項（件）,,27,19,27,29,28
工事監査,意見・要望事項（件）,,4,6,1,0,1
財政援助団体等監査,対象団体数,,***,***,"5,509","5,208","4,983"
財政援助団体等監査,実施団体数,,3,***,212,184,145
財政援助団体等監査,実施率（％）,,***,***,3.8,3.5,2.9
財政援助団体等監査,指摘事項（件）,,0,***,44,66,52
財政援助団体等監査,意見・要望事項（件）,,0,***,2,4,9
行政監査,指摘事項（件）,,***,***,0,11,15
行政監査,意見・要望事項（件）,,***,***,1,29,5
決算審査,各会計歳入歳出,対象会計数,17,17,17,16,16
決算審査,各会計歳入歳出,指摘事項（件）,22,29,24,13,19
決算審査,各会計歳入歳出,意見・要望事項（件）,0,0,0,0,0
決算審査,公営企業各会計,対象会計数,11,11,11,11,11
決算審査,公営企業各会計,指摘事項（件）,2,1,2,3,0
決算審査,公営企業各会計,意見・要望事項（件）,2,0,0,0,0
随時監査,指摘事項（件）,,***,***,***,***,***
随時監査,意見・要望事項（件）,,***,***,***,***,***
合計,指摘事項（件）,,121,118,165,233,257
合計,意見・要望事項（件）,,10,13,15,37,25
住民監査請求に基づく監査,請求件数（件）,,9,11,29,8,21
住民監査請求に基づく監査,監査実施せず（件）,,9,10,29,8,18
住民監査請求に基づく監査,監査実施,勧告（件）,0,0,0,0,0
住民監査請求に基づく監査,監査実施,理由なし（件）,0,1,0,0,3
