措置区分,令和3年定例,令和2年度公営企業会計決算審査,令和4年定例,令和4年工事,令和3年度各会計歳入歳出決算審査,令和4年財政援助団体等,令和5年定例,令和4年度公営企業会計決算審査,令和4年度各会計歳入歳出決算審査,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,5,,,5
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,,5,,,5
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,3,1,,1,4,,1,10
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,4,1,,1,4,,1,11
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,1,,,1,,,2,25,29
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,1,,,1,,,2,28,32
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,1,,,3,13,,,17
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,2,,,3,21,,,26
小計※措置区分のうち主なものを１つ選定した場合の数値,0,1,4,1,1,4,22,2,26,61
小計※措置区分のうち主なものを全て選定した場合の数値,0,1,6,1,1,4,30,2,29,74
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,,,,1,,,,1
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,2,,,1,1,,,4
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,,3,,,,6,,,9
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,,,3,,,1,8,,,12
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,17,1,4,22
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,,,5,,,,26,3,18,52
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,41,,2,43
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,,,1,1,,2,80,3,22,109
小計※措置区分のうち主なものを１つ選定した場合の数値,,,3,,,1,64,1,6,75
小計※措置区分のうち主なものを全て選定した場合の数値,,,11,1,,4,115,6,40,177
合計※措置区分のうち主なものを１つ選定した場合の数値,,1,7,1,1,5,86,3,32,136
合計※措置区分のうち主なものを全て選定した場合の数値,,1,17,2,1,8,145,8,69,251
