区分・団体名,指摘（団体）,指摘（局及び団体）,指摘（局）,意見・要望,合計
(補助金)学校法人等７０団体 , ,4 , , ,4 
(補助金)公益財団法人東京都福祉保健財団 , , , , ,
(補助金)社会福祉法人等１０団体 , ,8 , ,1 ,9 
(補助金)公益財団法人東京都農林水産振興財団 ,2 , ,1 , ,3 
(補助金)東京多摩青果株式会社ほか３団体 , , ,1 , ,1 
(補助金)八丈町商工会 , , , , ,
(補助金)社会福祉法人武蔵野会 , , , , ,
(補助金)社会福祉法人養和会 , , , , ,
(出資)東京都公立大学法人 ,3, , ,1,4
(出資)株式会社多摩ニュータウン開発センター ,1, , ,2,3
(出資)公益財団法人東京都環境公社 , , ,1, ,1
(出資)東京都ビジネスサービス株式会社 , , , , ,
(出資)東京都チャレンジドプラストッパン株式会社 , , , , ,
(出資)株式会社東京交通会館 , ,1, , ,1
(出資)東京水道株式会社 ,2, , , ,2
(出資)東京下水道エネルギー株式会社 , , , , ,
(出資)公益財団法人東京学校支援機構 , , ,4, ,4
(指定管理者)公益財団法人東京動物園協会 ,7,4,1, ,12
(指定管理者)公益財団法人東京都公園協会 ,7,2, ,1,10
(指定管理者)公益財団法人東京都道路整備保全公社 , , ,1,3,4
合計,22 ,19 ,9 ,8 ,58 
,,,,,
