区分１,区分２,区分３,R2,R1,30,29,28
定例監査,本庁,対象（箇所）,138,138,137,137,137
定例監査,本庁,実施,135,138,137,137,137
定例監査,事業所,対象（箇所）,741,741,742,744,745
定例監査,事業所,実施,272,299,312,311,320
定例監査,計,対象（箇所）,879,879,879,881,882
定例監査,計,実施,407,437,449,448,457
定例監査,計,実施率（％）,46.3,49.7,51.1,50.9,51.8
定例監査,指摘事項（件）,,69,68,111,143,112
定例監査,意見・要望事項（件）,,7,11,4,10,4
工事監査,実施件数（件）,,"1,223","1,645","1,574","1,631","1,684"
工事監査,金額（百万円）,,"848,975","1,077,012","955,869","1,008,883","687,675"
工事監査,指摘事項（件）,,19,27,29,28,31
工事監査,意見・要望事項（件）,,6,1,0,1,3
財政援助団体等監査,対象団体数,,－,"5,509","5,208","4,983","4,249"
財政援助団体等監査,実施団体数,,－,212,184,145,154
財政援助団体等監査,実施率（％）,,－,3.8,3.5,2.9,3.6
財政援助団体等監査,指摘事項（件）,,－,44,66,52,82
財政援助団体等監査,意見・要望事項（件）,,－,2,4,9,5
行政監査,指摘事項（件）,,－,0,11,15,0
行政監査,意見・要望事項（件）,,－,1,29,5,7
決算審査,各会計歳入歳出,対象会計数,17,17,16,16,16
決算審査,各会計歳入歳出,指摘事項（件）,29,24,13,19,18
決算審査,各会計歳入歳出,意見・要望事項（件）,0,0,0,0,0
決算審査,公営企業各会計,対象会計数,11,11,11,11,11
決算審査,公営企業各会計,指摘事項（件）,1,2,3,0,1
決算審査,公営企業各会計,意見・要望事項（件）,0,0,0,0,0
随時監査,指摘事項（件）,,－,－,－,－,－
随時監査,意見・要望事項（件）,,－,－,－,－,－
合計,指摘事項（件）,,118,165,233,257,244
合計,意見・要望事項（件）,,13,15,37,25,19
住民監査請求に基づく監査,請求件数（件）,,11,29,8,21,29
住民監査請求に基づく監査,監査実施せず（件）,,10,29,8,18,23
住民監査請求に基づく監査,監査実施,勧告（件）,0,0,0,0,1
住民監査請求に基づく監査,監査実施,理由なし（件）,1,0,0,3,5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
