Ｎｏ．,局,指摘（設計）,指摘（積算）,指摘（施工）,設計・施工,指摘（その他）,計（件）,意見・要望事項（設計）,意見・要望（積算）,意見・要望事項（施工）,意見・要望事項（その他）,計（件）,合計（件）
1,総務局,,,,,,,,,,,,
2,財務局,,,,,,,,,,,,
3,主税局,,,,,,,,,,,,
4,生活文化スポーツ局,,,,,,1 ,,,,1 ,1 ,
5,都市整備局,,,,,,,,,,,,
6,住宅政策本部,,,,,,,,,,,,
7,環境局,,1 ,,,1 ,,,,,,1 ,
8,福祉局（旧福祉保健局）,,,,1 ,1 ,,,,,,1 ,1 
9,保健医療局（旧福祉保健局）,,,,,,,,,,,,
10,産業労働局,,1 ,1 ,,2 ,,,,,,2 ,1 
11,中央卸売市場,,2 ,,,2 ,,,,,,2 ,
12,建設局,1 ,4 ,1 ,,6 ,,,,,,6 ,1 
13,港湾局,,2 ,,,2 ,,1 ,,,1 ,3 ,
14,東京消防庁,1 ,,,1 ,2 ,,,,,,2 ,1 
15,交通局,,1 ,,,1 ,,,,,,1 ,
16,水道局,,,1 ,1 ,2 ,,1 ,,,1 ,3 ,1 
17,下水道局,,2 ,,2 ,4 ,,,,,,4 ,1 
18,教育庁,,1 ,,,1 ,,,,,,1 ,
19,警視庁,,,,,,,,,,,,
,島しょ,,,,,,,,,,,,
,合計,2 ,14 ,3 ,5 ,24 ,1 ,2 ,,,3 ,27 ,6 
