監査種別,監査実施期間,結果内訳,措置対象,措置済,今回通知,改善中
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,指摘,16,15,,1
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,意見・要望,,,,
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,計,16,15,,1
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,指摘,111,110,,1
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,意見・要望,4,4,,0
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,計,115,114,,1
平成29年度公営企業各会計決算審査,平成30.6.1～平成30.8.30,指摘,2,1,1,0
平成29年度公営企業各会計決算審査,平成30.6.1～平成30.8.30,意見・要望,,,,
平成29年度公営企業各会計決算審査,平成30.6.1～平成30.8.30,計,2,1,1,0
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,指摘,,,,
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,意見・要望,29,27,1,1
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,計,29,27,1,1
令和元年定例監査（平成30年度執行分）,平成31.1.8～令和元.8.29,指摘,68,67,1,0
令和元年定例監査（平成30年度執行分）,平成31.1.8～令和元.8.29,意見・要望,11,11,,0
令和元年定例監査（平成30年度執行分）,平成31.1.8～令和元.8.29,計,79,78,1,0
令和元年工事監査（平成30年度執行分）,平成31.1.11～令和2.1.16,指摘,27,26,,1
令和元年工事監査（平成30年度執行分）,平成31.1.11～令和2.1.16,意見・要望,1,1,,0
令和元年工事監査（平成30年度執行分）,平成31.1.11～令和2.1.16,計,28,27,,1
令和元年財政援助団体等監査,令和元.9.9～令和2.1.30,指摘,44,35,9,0
令和元年財政援助団体等監査,令和元.9.9～令和2.1.30,意見・要望,2,1,,1
令和元年財政援助団体等監査,令和元.9.9～令和2.1.30,計,46,36,9,1
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,指摘,69,,60,9
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,意見・要望,7,,3,4
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,計,76,,63,13
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,指摘,19,,17,2
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,意見・要望,6,,2,4
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,計,25,,19,6
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,指摘,1,,,1
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,意見・要望,,,,
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,計,1,,,1
