対象局,実地監査期間,対象件数(件),抽出件数(件),抽出件数(%),対象金額(百万円),抽出金額(百万円),抽出金額(%)
政策企画局 ,令和4.9.26～令和4.9.28,4,2,50,103,73,71.2
財務局,令和4.5.9～令和4.6.6 ,348,118,33.9,"166,559","120,292",72.2
生活文化スポーツ局,令和4.9.26～令和4.9.28,48,20,41.7,"2,523",2016,79.9
都市整備局,令和4.5.9～令和4.6.30,189,41,25.8,"10,877",5766,53
住宅政策本部,令和4.5.9～令和4.6.30,662,114,17.2,"132,977",56432,42.4
環境局,令和4.4.25～令和4.4.28,77,30,39,"2,073",1812,87.4
福祉保健局,令和4.9.20～令和4.9.28,382,27,7.1,"4,969",1682,33.9
福祉保健局(旧病院経営本部),令和 4.2.9～令和4.2.14,263,28,10.6,"9,464",4947,52.3
産業労働局,令和4.2.4～令和4.2.10,195,27,13.8,"4,546",1509,33.2
中央卸売市場,令和4.1.27～令和4.2.3,553,73,13.2,"14,764",9121,61.8
建設局,令和4.5.17～令和4.6.23,3667,198,5.4,"419,207",220133,52.5
港湾局,令和4.2.15～令和4.3.1,931,95,10.2,"80,470",19534,24.3
東京消防庁,令和4.1.21～令和4.1.26,738,89,12.1,"30,793",13697,44.5
交通局,令和4.1.11～令和4.1.18,847,103,12.2,"192,346",89972,46.8
水道局,令和4.9.1～令和4.9.22,"3,277",240,7.3,"778,961",250553,32.2
下水道局,令和4.5.9～令和4.6.23,"4,031",232,5.8,"862,330",218875,25.4
教育庁,令和4.2.15～令和4.2.28,902,69,7.6,"20,695",6747,32.6
警視庁,令和4.9.30～令和4.10.6,930,76,8.2,"68,679",23981,34.9
島しょ,令和4.4.11～令和4.4.21,"1,366",133,9.7,"30,558",9083,29.7
合計,,"19,380",1715,8.8,"2,832,903",1056235,37.3
