対象局,実地監査期間,対象件数(件),抽出件数(件),抽出件数(%),対象金額(百万円),抽出金額(百万円),抽出金額(%)
総務局,令和5.9.8～令和5.9.21,25,11,44,436,345,79.1
財務局,令和5.4.21～令和5.6.14,351,110,31.3,"123,728","63,811",51.6
主税局,令和5.4.17～令和5.4.19,102,14,13.7,"1,164",424,36.4
生活文化スポーツ局,令和5.9.25～令和5.9.29,63,37,58.7,"3,012",2872,95.4
都市整備局,令和5.6.9～令和5.6.14,196,28,14.3,"16,750",3353,20
住宅政策本部,令和5.5.8～令和5.6.13,599,114,19,"125,789",55022,43.7
環境局,令和5.4.17～令和5.4.21,113,31,27.4,"2,849",1651,57.9
福祉局・保健医療局（旧福祉保健局）,令和5.9.8～令和5.9.29,234,29,12.4,"4,640",1992,42.9
産業労働局,令和5.2.9～令和5.2.16,223,27,12.1,"4,803",1847,38.5
中央卸売市場,令和5.1.26～令和5.2.2,563,69,12.3,"17,085",5435,31.8
建設局,令和5.9.1～令和5.9.25,4245,196,4.6,"463,208",223876,48.3
港湾局,令和5.2.3～令和5.2.20,870,90,10.3,"66,321",19153,28.9
東京消防庁,令和5.1.18～令和5.1.25,679,89,13.1,"25,585",10785,42.2
交通局,令和5.1.10～令和5.1.17,935,103,11,"183,824",104664,56.9
水道局,令和5.5.16～令和5.5.30,"1,864",180,9.7,"551,905",169619,30.7
下水道局,令和5.4.21～令和5.6.15,"2,908",194,6.7,"783,405",252119,32.2
教育庁,令和5.2.3～令和5.2.16,879,69,7.8,"28,138",7015,24.9
警視庁,令和5.10.2～令和5.10.6,932,76,8.2,"69,766",22262,31.9
島しょ,令和5.6.19～令和5.6.28,"1,175",115,9.8,"44,037",15293,34.7
合計,,"16,956",1582,9.3,"2,516,455",961549,38.2
