監査種別,監査実施期間,結果内訳,措置対象,措置済,今回通知,改善中
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,指摘,69,68,1,0
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,意見・要望,7,7,－ ,0
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,計,76,75,1,0
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,指摘,70,69,1,0
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,意見・要望,4,1,1,2
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,計,74,70,2,2
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,指摘,2,1,－ ,1
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,意見・要望,2,1,1,0
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,計,4,2,1,1
令和4年定例監査（令和3年度執行分）,令和4.1.6～令和4.9.6,指摘,92,72,8,12
令和4年定例監査（令和3年度執行分）,令和4.1.6～令和4.9.6,意見・要望,3,1,1,1
令和4年定例監査（令和3年度執行分）,令和4.1.6～令和4.9.6,計,95,73,9,13
令和4年工事監査,令和4.1.11～令和5.1.12,指摘,27,－ ,26,1
令和4年工事監査,令和4.1.11～令和5.1.12,意見・要望,1,－ ,1,0
令和4年工事監査,令和4.1.11～令和5.1.12,計,28,－ ,27,1
令和3年度公営企業各会計決算審査,令和4.6.1～令和4.9.6,指摘,3,2,－ ,1
令和3年度公営企業各会計決算審査,令和4.6.1～令和4.9.6,意見・要望,－ ,－ ,－ ,－ 
令和3年度公営企業各会計決算審査,令和4.6.1～令和4.9.6,計,3,2,－ ,1
令和3年度各会計歳入歳出決算審査,令和4.7.11～令和4.9.6,指摘,25,23,2,0
令和3年度各会計歳入歳出決算審査,令和4.7.11～令和4.9.6,意見・要望,－ ,－ ,－ ,－ 
令和3年度各会計歳入歳出決算審査,令和4.7.11～令和4.9.6,計,25,23,2,0
令和4年財政援助団体等監査,令和4.9.5～令和5.2.3,指摘,50,－ ,46,4
令和4年財政援助団体等監査,令和4.9.5～令和5.2.3,意見・要望,8,－ ,4,4
令和4年財政援助団体等監査,令和4.9.5～令和5.2.3,計,58,－ ,50,8
令和3・4年行政監査,令和3.12.20～令和5.2.10,指摘,12,－ ,12,0
令和3・4年行政監査,令和3.12.20～令和5.2.10,意見・要望,－ ,－ ,－ ,－ 
令和3・4年行政監査,令和3.12.20～令和5.2.10,計,12,－ ,12,0
