措置区分,令和2年定例,令和3年定例,令和2年度公営企業会計決算審査,令和4年定例,令和4年工事,令和3年度各会計歳入歳出決算審査,令和4年財政援助団体等,令和3・4年行政,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,,18,,19
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,1,,18,,19
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,3,,,2,,5
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,3,1,,2,,6
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,,1,,,1,1,,4
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,,1,,,2,1,,5
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,2,3,,8,4,17
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,2,5,,9,4,20
小計※措置区分のうち主なものを１つ選定した場合の数値,1,,1,5,4,1,29,4,45
小計※措置区分のうち主なものを全て選定した場合の数値,1,,1,5,7,2,30,4,50
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,2,,2
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,,,1,,4,,5
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,2,,3,,,3,3,11
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,,2,,3,,,5,3,13
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,,1,8,,12,4,25
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,1,,1,5,14,,35,5,61
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,,15,1,4,1,21
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,,1,,7,27,2,40,12,89
小計※措置区分のうち主なものを１つ選定した場合の数値,,2,,4,23,1,21,8,59
小計※措置区分のうち主なものを全て選定した場合の数値,1,3,1,15,42,2,84,20,168
合計※措置区分のうち主なものを１つ選定した場合の数値,1,2,1,9,27,2,50,12,104
合計※措置区分のうち主なものを全て選定した場合の数値,2,3,2,20,49,4,114,24,218
