措置区分,行政（平成24年）,平成29年度公営企業各会計決算審査,行政(指定管理)（平成30年）,定例（令和元年）,財援（令和元年）,定例（令和2年）,工事（令和2年）,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,8,8,,16
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,8,9,,17
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,,,1,,1,,3
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,1,,1,,2,,5
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,1,,,,2,,3
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,1,,,,2,,3
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,1,,,4,7,12
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,1,,,7,7,15
小計※措置区分のうち主なものを１つ選定した場合の数値,1,1,1,1,8,15,7,34
小計※措置区分のうち主なものを全て選定した場合の数値,1,2,1,1,8,20,7,40
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,,,,1,,1
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,,,,1,1,2
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,,,,,8,2,10
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,,,,,,9,2,11
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,13,10,24
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,1,1,1,,5,29,16,53
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,,,26,,26
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,,1,,,7,55,19,82
小計※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,48,12,61
小計※措置区分のうち主なものを全て選定した場合の数値,1,2,1,,12,94,38,148
合計※措置区分のうち主なものを１つ選定した場合の数値,1,1,1,1,9,63,19,95
合計※措置区分のうち主なものを全て選定した場合の数値,2,4,2,1,20,114,45,188
