措置区分,定例(平成30年),行政(平成30年),定例（令和2年）,令和元年度公営企業会計決算審査,定例(令和3年),工事(令和3年),令和2年度公営企業会計決算審査,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,,,1
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,1,2,,,3
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,,,,,1,,2
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,,,,,1,,2
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,1,1,,,1,3
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,1,1,,,1,3
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,1,,,4,9,,14
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,1,,,6,12,,19
小計※措置区分のうち主なものを１つ選定した場合の数値,1,1,1,1,5,10,1,20
小計※措置区分のうち主なものを全て選定した場合の数値,1,1,1,2,8,13,1,27
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,,,1
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,,,1,1,,2
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,,2,,8,1,,11
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,,,2,,15,2,,19
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,,,13,14,,27
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,1,,,1,28,22,,52
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,,39,4,,43
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,1,,,,63,29,,93
小計※措置区分のうち主なものを１つ選定した場合の数値,,,2,,61,19,,82
小計※措置区分のうち主なものを全て選定した場合の数値,1,,2,1,107,54,1,166
合計※措置区分のうち主なものを１つ選定した場合の数値,1,1,3,1,66,29,1,102
合計※措置区分のうち主なものを全て選定した場合の数値,2,1,3,3,115,67,2,193
