区分１,区分２,区分３,R4,R3,R2,R1,30
定例監査,本庁,対象（箇所）,143,142,138,138,137
定例監査,本庁,実施,143,142,135,138,137
定例監査,事業所,対象（箇所）,739,740,741,741,742
定例監査,事業所,実施,300,174,272,299,312
定例監査,計,対象（箇所）,882,882,879,879,879
定例監査,計,実施,443,316,407,437,449
定例監査,計,実施率（％）,50.2,35.8,46.3,49.7,51.1
定例監査,指摘事項（件）,,92,70,69,68,111
定例監査,意見・要望事項（件）,,3,4,7,11,4
工事監査,実施件数（件）,,1715,1310,"1,223","1,645","1,574"
工事監査,金額（百万円）,,1056235,714832,"848,975","1,077,012","955,869"
工事監査,指摘事項（件）,,27,27,19,27,29
工事監査,意見・要望事項（件）,,1,4,6,1,0
財政援助団体等監査,対象団体数,,-,-,-,"5,509","5,208"
財政援助団体等監査,実施団体数,,102,3,-,212,184
財政援助団体等監査,実施率（％）,,-,-,-,3.8,3.5
財政援助団体等監査,指摘事項（件）,,50,0,-,44,66
財政援助団体等監査,意見・要望事項（件）,,8,0,-,2,4
行政監査,指摘事項（件）,,11,-,-,0,11
行政監査,意見・要望事項（件）,,0,-,-,1,29
決算審査,各会計歳入歳出,対象会計数,17,17,17,17,16
決算審査,各会計歳入歳出,指摘事項（件）,25,22,29,24,13
決算審査,各会計歳入歳出,意見・要望事項（件）,0,0,0,0,0
決算審査,公営企業各会計,対象会計数,12,11,11,11,11
決算審査,公営企業各会計,指摘事項（件）,5,2,1,2,3
決算審査,公営企業各会計,意見・要望事項（件）,0,2,0,0,0
随時監査,指摘事項（件）,,-,-,-,-,-
随時監査,意見・要望事項（件）,,-,-,-,-,-
合計,指摘事項（件）,,210,121,118,165,233
合計,意見・要望事項（件）,,12,10,13,15,37
住民監査請求に基づく監査,請求件数（件）,,8,9,11,29,8
住民監査請求に基づく監査,監査実施せず（件）,,7,9,10,29,8
住民監査請求に基づく監査,監査実施,勧告（件）,1,0,0,0,0
住民監査請求に基づく監査,監査実施,理由なし（件）,0,0,1,0,0
