監査種別,監査実施期間,結果内訳,措置対象,措置済,今回通知,改善中
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,指摘,111,110,,1
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,意見・要望,4,4,,0
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,計,115,114,,1
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,指摘,,,,
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,意見・要望,29,28,,1
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,計,29,28,,1
令和元年工事監査（平成30年度執行分）,平成31.1.11～令和2.1.16,指摘,27,26,1,0
令和元年工事監査（平成30年度執行分）,平成31.1.11～令和2.1.16,意見・要望,1,1,,0
令和元年工事監査（平成30年度執行分）,平成31.1.11～令和2.1.16,計,28,27,1,0
令和元年財政援助団体等監査,令和元.9.9～令和2.1.30,指摘,44,44,,0
令和元年財政援助団体等監査,令和元.9.9～令和2.1.30,意見・要望,2,1,1,0
令和元年財政援助団体等監査,令和元.9.9～令和2.1.30,計,46,45,1,0
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,指摘,69,60,4,5
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,意見・要望,7,3,4,0
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,計,76,63,8,5
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,指摘,19,17,1,1
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,意見・要望,6,2,4,0
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,計,25,19,5,1
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,指摘,1,,,1
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,意見・要望,,,,
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,計,1,,,1
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,指摘,2,,,2
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,意見・要望,2,,1,1
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,計,4,,1,3
令和2年度各会計歳入歳出決算審査,令和3.6.1～令和3.9.7,指摘,18,,16,2
令和2年度各会計歳入歳出決算審査,令和3.6.1～令和3.9.7,意見・要望,,,,
令和2年度各会計歳入歳出決算審査,令和3.6.1～令和3.9.7,計,18,,16,2
