Ｎｏ．,局,指摘（設計）,指摘（積算）,指摘（施工）,設計・施工,指摘（その他）,計（件）,意見・要望事項（設計）,意見・要望（積算）,意見・要望事項（施工）,意見・要望事項（その他）,計（件）,合計（件）
1,政策企画局 , , , , , ,0 , , , , ,0 ,0 
2,財務局 , ,1 , , , ,1 , , , , ,0 ,1 
3,生活文化スポーツ局 , , ,1 , , ,1 , , , , ,0 ,1 
4,都市整備局 , , , , , ,0 , , , , ,0 ,0 
5,住宅政策本部 , , ,1 , , ,1 , , , , ,0 ,1 
6,環境局 , , ,2 , , ,2 , , , , ,0 ,2 
7,福祉保健局 , , , , , ,0 , , , , ,0 ,0 
,旧病院経営本部,,,,,,0 ,,,,,0 ,0 
8,産業労働局 , , , ,1 , ,1 , , , , ,0 ,1 
9,中央卸売市場 , ,1 ,1 , , ,2 , , , , ,0 ,2 
10,建設局 , ,2 ,2 , , ,4 , , , , ,0 ,4 
11,港湾局 , ,2 ,1 , , ,3 ,1 , , , ,1 ,4 
12,東京消防庁 , ,3 , , , ,3 , , , , ,0 ,3 
13,交通局 , , ,1 , , ,1 , , , , ,0 ,1 
14,水道局 ,1 ,1 ,1 , , ,3 , , , , ,0 ,3 
15,下水道局 ,1 ,1 , , ,1 ,3 , , , , ,0 ,3 
16,教育庁 , , ,1 , , ,1 , , , , ,0 ,1 
17,警視庁 , , , , , ,0 , , , , ,0 ,0 
18,島しょ , , , , ,1 ,1 , , , , ,0 ,1 
,合計,2 ,11 ,11 ,1 ,2 ,27 ,1 , , , ,1 ,28 
