監査種別,監査実施期間,結果内訳,措置対象,措置済,今回通知,改善中
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,指摘,111,110,1,0
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,意見・要望,4,4,,0
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,計,115,114,1,0
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,指摘,,,,
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,意見・要望,29,28,1,0
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,計,29,28,1,0
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,指摘,69,64,3,2
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,意見・要望,7,7,,0
令和2年定例監査（令和元年度執行分）,令和2.1.7～令和3.1.28,計,76,71,3,2
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,指摘,19,18,,1
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,意見・要望,6,6,,0
令和2年工事監査（令和元年度執行分）,令和2.1.9～令和3.1.14,計,25,24,,1
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,指摘,1,,1,0
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,意見・要望,,,,
令和元年度公営企業各会計決算審査,令和2.6.1～令和2.9.8,計,1,,1,0
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,指摘,2,,1,1
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,意見・要望,2,1,,1
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,計,4,1,1,2
令和2年度各会計歳入歳出決算審査,令和3.6.1～令和3.9.7,指摘,18,16,,2
令和2年度各会計歳入歳出決算審査,令和3.6.1～令和3.9.7,意見・要望,,,,
令和2年度各会計歳入歳出決算審査,令和3.6.1～令和3.9.7,計,18,16,,2
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,指摘,70,,65,5
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,意見・要望,4,,1,3
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,計,74,,66,8
令和3年工事監査（令和2年度執行分）,令和3.1.12～令和4.1.20,指摘,27,,26,1
令和3年工事監査（令和2年度執行分）,令和3.1.12～令和4.1.20,意見・要望,4,,3,1
令和3年工事監査（令和2年度執行分）,令和3.1.12～令和4.1.20,計,31,,29,2
