措置区分,定例（令和2年）,工事（令和2年）,定例（令和3年）,工事（令和3年）,令和2年度各会計歳入歳出決算審査,定例（令和4年）,令和3年度公営企業各会計決算審査,令和3年度各会計歳入歳出決算審査,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,1,,,1
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,3,,,3
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,1,1,,,2,,,5
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,1,1,,,2,,1,6
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,2,,1,22,25
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,2,,2,22,26
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,2,2,,10,,,14
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,2,2,,21,,,25
小計※措置区分のうち主なものを１つ選定した場合の数値,1,1,3,2,2,13,1,22,45
小計※措置区分のうち主なものを全て選定した場合の数値,1,1,3,2,2,26,2,23,60
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,,,,2,,,2
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,,,,2,,,2
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,,1,,,14,,,15
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,,,2,1,,15,,,18
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,,,,16,,1,17
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,,1,,1,1,26,1,12,42
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,,,28,1,,29
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,,1,3,2,2,51,1,15,75
小計※措置区分のうち主なものを１つ選定した場合の数値,,,1,,,60,1,1,63
小計※措置区分のうち主なものを全て選定した場合の数値,,2,5,4,3,94,2,27,137
合計※措置区分のうち主なものを１つ選定した場合の数値,1,1,4,2,2,73,2,23,108
合計※措置区分のうち主なものを全て選定した場合の数値,1,3,8,6,5,120,4,50,197
