Ｎｏ．,局,指摘（計画・設計・積算）,指摘（施工）,指摘（その他）,計（件）,意見・要望事項（計画・設計・積算）,意見・要望事項（施工）,意見・要望事項（その他）,計（件）,合計（件）,指摘金額（千円）,
1,総務局,1,,,1,,,,0,1,,
2,財務局,1,,,1,,,,0,1,,
3,主税局,,1,,1,,,,0,1,1,
4,生活文化局,,,,0,,,,0,0,,
5,オリンピック・パラリンピック準備局,,,,0,,,,0,0,,
6,都市整備局,,1,,1,,,,0,1,,
7,住宅政策本部,,,,0,,,,0,0,,
8,環境局,,1,,1,,,,0,1,,
9,産業労働局,,,,0,,,,0,0,,
10,中央卸売市場,1,,,1,,,,0,1,,
11,建設局,2,2,2,6,,,1,1,7,3,
12,港湾局,2,,1,3,1,,1,2,5,1,
13,東京消防庁,1,,,1,,,,0,1,1,
14,交通局,2,1,1,4,,,,0,4,2,
15,水道局　,1,,1,2,,,,0,2,,
16,下水道局,,1,,1,,,,0,1,,
17,教育庁,1,,1,2,,,1,1,3,1,
18,警視庁,,,,0,,,,0,0,,
,島しょ,2,,,2,,,,0,2,2,
合計,,14,7,6,27,1,0,3,4,31,11,
