監査種別	監査実施期間	結果内訳	措置対象	措置済	今回通知	改善中
令和2年定例監査（令和元年度執行分）	令和2.1.7～令和3.1.28	指摘	69	67	1	1
令和2年定例監査（令和元年度執行分）	令和2.1.7～令和3.1.28	意見・要望	7	7	0	0
令和2年定例監査（令和元年度執行分）	令和2.1.7～令和3.1.28	計	76	74	1	1
令和2年工事監査（令和元年度執行分）	令和2.1.9～令和3.1.14	指摘	19	18	1	0
令和2年工事監査（令和元年度執行分）	令和2.1.9～令和3.1.14	意見・要望	6	6	0	0
令和2年工事監査（令和元年度執行分）	令和2.1.9～令和3.1.14	計	25	24	1	0
令和3年定例監査（令和2年度執行分）	令和3.1.12～令和4.1.27	指摘	70	65	4	1
令和3年定例監査（令和2年度執行分）	令和3.1.12～令和4.1.27	意見・要望	4	1	0	3
令和3年定例監査（令和2年度執行分）	令和3.1.12～令和4.1.27	計	74	66	4	4
令和3年工事監査（令和2年度執行分）	令和3.1.12～令和4.1.20	指摘	27	26	1	0
令和3年工事監査（令和2年度執行分）	令和3.1.12～令和4.1.20	意見・要望	4	3	1	0
令和3年工事監査（令和2年度執行分）	令和3.1.12～令和4.1.20	計	31	29	2	0
令和2年度公営企業各会計決算審査	令和3.6.1～令和3.9.7	指摘	2	1	0	1
令和2年度公営企業各会計決算審査	令和3.6.1～令和3.9.7	意見・要望	2	1	0	1
令和2年度公営企業各会計決算審査	令和3.6.1～令和3.9.7	計	4	2	0	2
令和2年度各会計歳入歳出決算審査	令和3.7.9～令和3.9.7	指摘	18	16	2	0
令和2年度各会計歳入歳出決算審査	令和3.7.9～令和3.9.7	意見・要望	0	0	0	0
令和2年度各会計歳入歳出決算審査	令和3.7.9～令和3.9.7	計	18	16	2	0
令和4年定例監査（令和3年度執行分）	令和4.1.6～令和4.9.6	指摘	92	0	72	20
令和4年定例監査（令和3年度執行分）	令和4.1.6～令和4.9.6	意見・要望	3	0	1	2
令和4年定例監査（令和3年度執行分）	令和4.1.6～令和4.9.6	計	95	0	73	22
令和3年度公営企業各会計決算審査	令和4.6.1～令和4.9.6	指摘	3	0	2	1
令和3年度公営企業各会計決算審査	令和4.6.1～令和4.9.6	意見・要望	0	0	0	0
令和3年度公営企業各会計決算審査	令和4.6.1～令和4.9.6	計	3	0	2	1
令和3年度各会計歳入歳出決算審査	令和4.7.11～令和4.9.6	指摘	25	0	23	2
令和3年度各会計歳入歳出決算審査	令和4.7.11～令和4.9.6	意見・要望	0	0	0	0
令和3年度各会計歳入歳出決算審査	令和4.7.11～令和4.9.6	計	25	0	23	2
