区分1,区分2,検体数,検査件数,保存料,殺菌料,漂白剤,発色剤,着色料,甘味料,酸化防止剤,防かび剤,リン酸,過酸化水素（定性）,一酸化炭素
合計,,"1,498",602,"3,278",31,278,17,"3,116",823,1,197,18,31,0
魚介類,小計,778,108,840,0,3,0,0,210,0,0,0,0,0
魚介類,生鮮魚類まぐろ類,23,0,0,0,0,0,0,0,0,0,0,0,0
魚介類,生鮮魚類その他,509,0,0,0,0,0,0,0,0,0,0,0,0
魚介類,貝類,124,0,0,0,0,0,0,0,0,0,0,0,0
魚介類,その他,122,108,840,0,3,0,0,210,0,0,0,0,0
魚介類加工品,小計,149,149,824,31,102,15,"1,100",206,0,0,0,31,0
魚介類加工品,ゆでだこ・湯煮品,20,20,0,20,20,0,12,0,0,0,0,20,0
魚介類加工品,塩干・塩蔵品,26,26,0,11,11,15,180,0,0,0,0,11,0
魚介類加工品,ねり製品,91,91,728,0,64,0,815,182,0,0,0,0,0
魚介類加工品,その他,12,12,96,0,7,0,93,24,0,0,0,0,0
青果物,小計,346,155,768,0,104,0,"1,031",182,0,178,18,0,0
青果物,穀類及びその加工品,3,3,16,0,3,0,22,0,0,0,0,0,0
青果物,そ菜及び果実,249,58,0,0,18,0,0,0,0,178,18,0,0
青果物,つけもの,83,83,664,0,72,0,921,166,0,0,0,0,0
青果物,その他の加工品,11,11,88,0,11,0,88,16,0,0,0,0,0
乳肉製品,小計,25,25,200,0,2,0,300,50,0,0,0,0,0
乳肉製品,卵加工品,25,25,200,0,2,0,300,50,0,0,0,0,0
その他の食品,小計,85,80,624,0,53,0,628,156,0,0,0,0,0
その他の食品,冷凍食品無加熱摂取,0,0,0,0,0,0,0,0,0,0,0,0,0
その他の食品,冷凍食品凍結前加熱加熱後摂取,0,0,0,0,0,0,0,0,0,0,0,0,0
その他の食品,冷凍食品凍結前未加熱加熱後摂取,5,0,0,0,0,0,0,0,0,0,0,0,0
その他の食品,冷凍食品生食用冷凍鮮魚介類,0,0,0,0,0,0,0,0,0,0,0,0,0
その他の食品,菓子類,10,10,80,0,10,0,112,20,0,0,0,0,0
その他の食品,そうざい,68,68,544,0,43,0,494,136,0,0,0,0,0
その他の食品,その他の食品,2,2,0,0,0,0,22,0,0,0,0,0,0
精度管理等,,115,85,22,0,14,2,57,19,1,19,0,0,0
