検体名,生食用貝類,ボイル貝類等,生食用魚介類,まぐろ,ゆでだこ・湯煮品,しらす・ちりめん,生うに,生食用殻付きかき,"生食用
パック入かき",その他,合計,検出率(％)
4月, 0/0, 0/0, 0/0, 0/0, 0/0,0/5,0/15, 0/0, 0/0,0/32,0/152,0
5月, 2/5, 0/0, 0/0, 0/0, 0/0, 0/0,0/16, 0/0, 0/0,2/461,4/482,0.8
6月,0/13,0/1, 0/0, 0/0, 0/0,0/5,0/17, 0/0, 0/0,1/650,1/686,0.1
7月,0/13, 0/0, 0/0, 0/0, 0/0,0/8,0/16, 0/0, 0/0,1/469,1/506,0.2
8月,0/4, 0/0, 0/0, 0/0, 0/0, 0/0,0/2,0/4, 0/0,0/208,0/218,0
9月, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,0/45,0/45,0
10月,0/2, 0/0, 0/0, 0/0, 0/0, 0/0,0/1,0/1, 0/0,0/68,0/72,0
11月, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,0/8,0/4,0/128,0/140,0
12月, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,0/30,0/11,0/5,0/104,0/150,0
1月, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,0/15,0/9,0/2,0/56,0/82,0
2月, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,0/0,0/10,0/7,0/74,0/91,0
3月, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,0/15,0/5,0/5,0/140,0/165,0
合計,2/37,0/1,0/0,0/0,0/0,0/18,0/127,0/48,0/23,"4/2,535","6/2,789",0.2
検出率(％),5.4,0,0,0,0,0,0,0,0,0.2,,
