5-（2）野積場,,,,,,,,,,,
名　　　　称,,級別,面積（㎡）,,主要品種,名　　　　称,,級別,面積（㎡）,,主要品種
合　　　　計,,,"785,780.51",,,フェリーふ頭,,,"60,252.66",,
品川ふ頭,,,"83,770.03",,,,A野積場,1級,"10,996.67",,シャーシ
,C野積場,1級,"14,222.00",,シャーシ,,B野積場,〃,"19,168.67",,　〃
,D野積場,〃,"14,079.00",,　〃,,C野積場,〃,"10,704.92",,　〃
,G野積場,〃,"18,756.88",,　〃,,D野積場,〃,"7,517.07",,　〃
,H野積場,〃,"19,907.75",,　〃,,E野積場,〃,"11,865.33",,　〃
,I野積場,〃,"13,654.40",,　〃,辰巳ふ頭,,,"54,136.20",,
,SK野積場,〃,"3,150.00",,　〃,,A野積場,1級,"8,934.60",,鉄鋼、雑貨
芝浦ふ頭,,,"29,546.06",,,,B野積場,〃,"7,984.60",,　〃
,K野積場,1級,"9,523.89",,コンテナ,,C野積場,〃,"19,584.00",,　〃
,L野積場,〃,"1,768.75",,　〃,,D野積場,〃,"13,582.00",,　〃
,M野積場,〃,"1,181.82",,取合せ品,,E野積場,〃,"4,051.00",,　〃
,N野積場,〃,"4,519.00",,シャーシ,大井建材ふ頭,,,"21,147.50",,
,J野積場,２級,"12,552.60",,　〃,,A野積場,特級,"10,857.50",,砂利・砂
日の出ふ頭,,,"1,794.94",,,,B野積場,〃,"4,830.00",,　〃
,H野積場,1級,"1,794.94",,シャーシ,,C野積場,〃,"5,460.00",,　〃
月島ふ頭,,,970.46,,（供用中止中）,若洲内貿ふ頭,,1級,"43,606.00",,シャーシ
,野積場,1級,970.46,,,15号地木材ふ頭,,,"258,125.00",,
10号地ふ頭,,,"153,109.66",,,,（木材用荷役施設）,,"258,125.00",,製材、紙
,3号上屋背面野積場,1級,"4,474.00",,シャーシ,若洲建材ふ頭,,,"37,093.00",,
,4号上屋背面野積場,〃,"10,529.00",,　〃,,A野積場,特級,"6,885.00",,砂利・砂
,5号上屋背面野積場,〃,"3,957.64",,　〃,,B野積場,〃,"7,290.00",,　〃
,6号上屋背面野積場,〃,"3,946.53",,　〃,,C野積場,〃,"6,885.00",,　〃
,A野積場,〃,"13,825.12",,コンテナ,,D野積場,1級,"16,033.00",,製材
,C野積場,〃,"13,506.00",,シャーシ,中央防波堤内側ばら物,,,"29,338.00",,
,D野積場,〃,"12,864.00",,　〃,,A野積場,ばら物,"11,147.00",,珪砂
,E野積場,〃,"12,874.00",,　〃,,B野積場,〃,"7,791.00",,石炭
,G野積場,〃,"13,506.00",,　〃,,C野積場,〃,"5,600.00",,　〃
,H野積場,〃,"13,506.00",,コンテナ,,D野積場,〃,"4,800.00",,コークス
,I野積場,〃,"6,710.80",,　〃,中央防波堤内側内貿ふ頭,,,"12,891.00",,
,J野積場,〃,"12,432.98",,　〃,,野積場,1級,"12,891.00",,シャーシ
,Ｌ野積場,〃,"14,640.50",,鉄鋼,,,,,,
,Ｎ野積場,〃,"13,379.09",,　〃,,,,,,
,自動車上屋付属,〃,"2,958.00",,商品車,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
