4　係留施設,,,,,,,,,,,
,,,,,,,,,,,
　4-（1）ブイ・ドルフィン・岸壁・桟橋・物揚場,,,,,,,,,,,
名　　　称,,バース名,,延長（ｍ）,水深（ｍ）,,対象船型(D/W),,船席数,備　　　考,
公　　　共　　　ふ　　　頭,,合　計,,"18,523.67",,,,,122,その他ブイ,3基
（ドルフィン）,,,,  （15基）,,,,,,,
ブイ,,,,,,,,,,,
（係船浮標）,,"No.1, 2, 3",,3基,,‐7.5,"9,000～12,000",,2,12号地木材投下泊地,
ドルフィン,,M1～M5,,,,,,,,,
（係船くい）,,M10，M11,,    14基,,‐10.0,"15,000",,7,12号地木材投下泊地,
芝浦ふ頭,,計,,"1,250.84",,,,,7,,
,芝浦岸壁,B～G,,780,,‐7.5,"5,000",,6,,
,〃,G',,165,,‐5.5,"2,000",,1,,
,芝浦物揚場,"S2,S3",,161.27,,‐2.7,300,,-,東海汽船,
,芝浦１丁目物揚場,,,135.57,,‐2.7,200,,-,,
,芝浦通船桟橋,,,9,,‐3.0,50,,-,通船発着所,
日の出ふ頭,,計,,739.2,,,,,6,,
,日の出桟橋,H～M,,564,,‐6.7,"3,000",,6,,
,日の出小型船発着所,,,175.2,‐4.0,,-,,-,,
竹芝ふ頭,,計,,505.8,,,,,3,,
,竹芝ふ頭桟橋,N～P,,465,,-7.5,"5,000",,3,伊豆、小笠原定航,
,竹芝小型船発着所,,,40.8,,-4,-,,-,,
品川ふ頭,,計,,"1,644.52",,,,,9,,
,,（ドルフィン）,,     (1基),,,,,-,,
,品川岸壁・桟橋,SC～SE（ｺﾝﾃﾅ）,,554.6,,‐10.0,"15,000",,3,,
,,（ドルフィン）,,     (1基),,‐10.0,-,,-,SCと併用,
,〃,SF（外貿),,189.5,,‐10.0,"15,000",,1,,
,〃,SG～SK(内貿),,856.42,‐8.0～‐10.0,,"6,000～15,000",,5,北海道定期航路,
,品川物揚場,SK',,44,,‐3.0,-,,-,,
晴海ふ頭,,計,,769.68,,,,,4,,
,晴海桟橋,HI,,123.68,,‐9.0,"10,000",,1,(供用中止　H25まで）,
,〃,HJ,,190,,‐10.0,"15,000",,1,,
,〃,HK，HL（客船）,,456,,‐10.0,"20,000(G/T)",,2,客船ターミナル,
朝潮・月島,,計,,"1,411.00",,,,,2,,
,朝潮物揚場,G7,,60,‐5.0,,700,,-,,
,月島物揚場,F0，F1,,630,‐3.0～‐3.5,,300,,-,,
,〃,F2,,100,‐3.0～‐4.5,,300,,-,,
,〃,F6,,355,,‐4.5,500,,-,,
,月島ドルフィン桟橋,F4，F5,,266,,‐7.5,"5,000",,2,(ドルフィン式),4基
