施設名,カテゴリ,都道府県名,住所,緯度,経度,説明(日本語)
堀船小学校,避難場所・避難所,東京都,北区堀船2-11-9,35.7538321851,139.746425067,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
柳田小学校,避難場所・避難所,東京都,北区豊島2-11-20,35.7576481114,139.743962216,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
梅木小学校,避難場所・避難所,東京都,北区西が丘2-21-15,35.7678867898,139.713887827,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
第四岩淵小学校,避難場所・避難所,東京都,北区赤羽3-24-23,35.7860293029,139.720659006,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
袋小学校,避難場所・避難所,東京都,北区赤羽北2-15-3,35.7840394806,139.705759061,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
赤羽台西小学校,避難場所・避難所,東京都,北区赤羽台2-1-34,35.7751742524,139.713617874,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
西が丘小学校,避難場所・避難所,東京都,北区十条仲原4-5-17,35.7699183746,139.721294622,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
田端小学校,避難場所・避難所,東京都,北区田端5-4-1,35.737211597,139.756870466,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
滝野川紅葉中学校,避難場所・避難所,東京都,北区滝野川5-55-8,35.7500000927,139.724833963,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
桐ケ丘中学校,避難場所・避難所,東京都,北区桐ケ丘2-6-11,35.780181597,139.708595044,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
十条台ふれあい館,避難場所・避難所,東京都,北区中十条1-2-18,35.7576868374,139.729636853,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
北区防災センター,避難場所・避難所,東京都,北区西ケ原2-1-6,35.7448375562,139.744506712,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
