年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
前年(度)比(％)／平成29年度平均,2017,,0.7,0.7,0.9,1.1,-0.2,0.1,4.3,-0.8,0.1,1.2,0.5,0.4,0.4,0.3,
前年(度)比(％)／平成30年度平均,2018,,0.7,0.8,0.9,0.5,-0.1,0.1,4.2,-0.6,0.1,1.4,0.9,0.5,0.9,0.6,
月別指数／平成31年2月,2019,2,101.5,101.3,101.9,103.8,99.6,100.6,102.1,99.3,99.7,103.7,98.8,102.8,102.9,102,
月別指数／平成31年3月,2019,3,101.5,101.5,101.9,103.5,99.6,100.6,102.3,99,101.5,103.8,99.2,102.8,102.4,102.2,
月別指数／平成31年4月,2019,4,101.8,101.8,102.2,103.5,99.7,100.9,102,99.7,103.6,103.9,99.1,103.4,103.7,102.3,
月別指数／令和元年5月,2019,5,101.8,101.8,102.2,103.6,99.7,101,101.9,100.4,103.4,103.8,99.2,103.4,103.1,102.3,
月別指数／令和元年6月,2019,6,101.6,101.6,102.1,103.9,99.7,101.1,101.4,99.7,103,103.8,98.3,103.4,103.2,102.1,
月別指数／令和元年7月,2019,7,101.6,101.5,102,104,99.8,101.3,101.1,99.3,100.9,103.9,98.8,103.4,102.7,102.1,
月別指数／令和元年8月,2019,8,101.8,101.7,102.3,104.2,99.8,101.2,100.6,99.5,99.7,103.9,98.9,103.4,105.4,102.2,
月別指数／令和元年9月,2019,9,101.9,101.6,102.4,105.2,99.8,101.3,100,99.8,103.8,103.8,98.2,103.5,103.4,102.2,
月別指数／令和元年10月,2019,10,102.2,102,102.8,105.5,100.3,103.1,99.8,102.3,105.4,104.7,99.4,94.8,105.6,99,
月別指数／令和元年11月,2019,11,102.3,102.2,102.8,105.3,100.3,103.2,101.3,102.2,105.9,104.6,99.5,94.8,105.2,99,
月別指数／令和元年12月,2019,12,102.3,102.2,102.8,105.2,100.4,103.3,101.2,101.9,104.7,104.4,99.9,94.8,105.6,98.9,
月別指数／令和2年1月,2020,1,102.2,102,102.7,105.6,100.4,103.2,101.2,101.5,100.7,104.5,100.5,94.8,104.3,99,
月別指数／令和2年2月,2020,2,102,101.9,102.4,105.1,100.4,103.3,101,101.4,101,104.4,100.1,94.7,104,99,
前月比(％)／平成31年2月,2019,2,0,0.1,0,-0.5,0,0,0.5,0.4,0.1,0,-0.1,0,0.7,0,
前月比(％)／平成31年3月,2019,3,0,0.1,0,-0.3,0,0,0.2,-0.3,1.8,0.1,0.4,0.1,-0.4,0.1,
前月比(％)／平成31年4月,2019,4,0.3,0.3,0.3,0.1,0.1,0.3,-0.3,0.7,2,0,-0.1,0.5,1.2,0.1,
前月比(％)／令和元年5月,2019,5,0,0,0,0.1,0,0.1,-0.2,0.8,-0.2,0,0.1,0,-0.5,0,
前月比(％)／令和元年6月,2019,6,-0.1,-0.2,-0.2,0.2,0,0.1,-0.4,-0.7,-0.5,0,-0.9,0,0.1,-0.1,
前月比(％)／令和元年7月,2019,7,-0.1,-0.1,-0.1,0.1,0,0.2,-0.4,-0.4,-2,0.1,0.5,0,-0.5,0,
前月比(％)／令和元年8月,2019,8,0.3,0.2,0.3,0.3,0,0,-0.5,0.2,-1.2,0,0.1,0,2.6,0.1,
前月比(％)／令和元年9月,2019,9,0.1,-0.1,0.1,0.9,0,0.1,-0.6,0.3,4.1,-0.1,-0.7,0.1,-1.9,0,
前月比(％)／令和元年10月,2019,10,0.3,0.4,0.4,0.4,0.5,1.8,-0.2,2.5,1.6,0.9,1.1,-8.4,2.2,-3.1,
前月比(％)／令和元年11月,2019,11,0.1,0.2,0.1,-0.2,0.1,0.1,1.5,-0.1,0.4,-0.1,0.1,0,-0.4,0,
前月比(％)／令和元年12月,2019,12,0,0,0,-0.2,0,0,-0.1,-0.3,-1.1,-0.2,0.4,0,0.4,-0.2,
前月比(％)／令和2年1月,2020,1,-0.1,-0.2,-0.1,0.4,0,0,0,-0.4,-3.8,0.2,0.6,0,-1.3,0.1,
前月比(％)／令和2年2月,2020,2,-0.2,-0.1,-0.3,-0.5,0,0,-0.2,-0.1,0.3,-0.1,-0.4,-0.1,-0.2,0,
前年同月比(％)／平成31年2月,2019,2,0.2,0.7,0.2,-1.4,0,0.2,5.3,0.8,0,1.2,-0.6,0.4,1.4,0.9,
前年同月比(％)／平成31年3月,2019,3,0.5,0.8,0.6,-0.3,0,0.2,5.1,1.5,0.1,1.3,-0.3,0.5,0.9,1,
前年同月比(％)／平成31年4月,2019,4,0.9,0.9,1,0.7,0.1,0.4,4.4,1.6,0.1,0.9,-0.2,0.5,2,1.1,
前年同月比(％)／令和元年5月,2019,5,0.7,0.8,0.9,0.8,0.1,0.4,3.2,2.6,0,0.7,-0.4,0.6,1.3,1,
前年同月比(％)／令和元年6月,2019,6,0.7,0.6,0.8,1.4,0.1,0.5,2.2,1.8,0,0.6,-1.3,0.6,1.5,0.9,
前年同月比(％)／令和元年7月,2019,7,0.5,0.6,0.6,0.9,0.2,0.7,2,1.7,0.4,0.6,-1.2,0.7,1.1,1,
前年同月比(％)／令和元年8月,2019,8,0.3,0.5,0.3,0.1,0.2,0.8,1.2,2.3,0.6,-0.2,-1.2,0.6,1.1,1,
前年同月比(％)／令和元年9月,2019,9,0.2,0.3,0.3,0.5,0.2,0.8,0.2,2.7,0,-0.2,-1.6,0.7,1,1,
前年同月比(％)／令和元年10月,2019,10,0.2,0.4,0.3,0.9,0.7,2.6,-0.8,4.2,1.2,0.7,-1,-7.8,2.3,-2.9,
前年同月比(％)／令和元年11月,2019,11,0.5,0.5,0.6,1.5,0.8,2.7,0.1,3.8,1.3,0.7,-0.5,-7.8,2.3,-3,
前年同月比(％)／令和元年12月,2019,12,0.8,0.7,0.9,1.9,0.8,2.7,-0.1,3,1.4,0.5,0.8,-7.8,2.8,-3.1,
前年同月比(％)／令和2年1月,2020,1,0.7,0.8,0.8,1.2,0.8,2.6,-0.4,2.7,1.1,0.8,1.7,-7.8,2.1,-3,
前年同月比(％)／令和2年2月,2020,2,0.4,0.6,0.5,1.2,0.8,2.6,-1,2.1,1.3,0.7,1.4,-7.9,1.1,-2.9,
,,,,,,,,,,,,,,,,,
東京の物価／令和２年３月分,,,,,,,,,,,,,,,,,
参考表１　全国消費者物価１０大費目指数,,,,,,,,,,,,,,,,,
２０１５年＝１００,,,,,,,,,,,,,,,,,
(平成２７年＝１００),,,,,,,,,,,,,,,,,
