年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さ　やいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ又はつがる)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和２年６月,2020,6,439,111,79,201,361,109,98,640,271,154,347,314,119,...,271,188,827,275,760,341,159,693,1871,551,454,908,205,423,890,241,2764,763,1549,1729,2153,517,519,651,626,956,1516,869,521,708,507,...,814,...,353,487,...,...,2097,...,...,...,425,714,...,3759,259,981,887,196,226,326
令和２年７月,2020,7,425,132,93,210,363,105,97,620,271,139,345,331,128,...,273,171,1052,249,958,372,159,630,1890,604,489,1089,200,519,866,260,2318,737,1538,1348,2168,565,612,779,685,1071,1536,840,500,669,509,...,1011,...,337,486,...,...,1731,2765,...,1161,391,661,...,2860,262,990,882,196,225,326
令和２年７月上旬,2020,7上,428,137,92,207,...,114,98,624,271,135,...,...,...,...,...,183,938,226,840,304,...,651,1901,...,...,...,192,...,...,247,2463,...,...,1433,2109,552,603,729,707,991,...,831,...,...,...,...,967,...,...,...,...,...,1808,2840,...,1148,399,696,...,2674,...,...,...,198,227,326
令和２年７月中旬,2020,7中,426,140,94,211,363,105,94,609,269,152,345,331,128,...,273,168,995,229,1002,331,159,594,1896,604,489,1089,196,519,866,260,2250,737,1538,1350,2238,577,576,752,678,1074,1536,897,500,669,509,...,1034,...,337,486,...,...,1757,2886,...,1142,393,659,...,2900,262,990,882,195,227,325
令和２年７月下旬,2020,7下,422,120,92,211,...,97,99,626,273,130,...,...,...,...,...,163,1223,293,1032,481,...,646,1875,...,...,...,213,...,...,275,2241,...,...,1260,2157,565,656,857,669,1149,...,792,...,...,...,...,1031,...,...,...,...,...,1628,2568,...,1194,380,626,...,3005,...,...,...,194,223,328
令和２年８月上旬,2020,8上,434,111,87,214,...,111,96,626,287,160,...,...,...,...,...,235,1322,366,992,862,...,685,1845,...,...,...,218,...,...,309,2058,...,...,1276,2247,609,655,942,665,1223,...,729,...,...,...,879,1086,...,...,...,...,870,1477,2205,...,1129,388,667,...,...,...,...,...,200,226,323
令和２年８月中旬,2020,8中,411,156,133,216,356,111,99,629,281,146,338,332,129,...,262,270,1385,464,957,823,158,698,1891,633,551,1031,219,558,898,302,1972,780,1528,1324,2291,602,609,941,667,1192,1524,756,521,696,507,886,1070,...,342,487,...,799,1506,2071,...,1149,408,681,...,...,265,970,814,203,232,330
銘柄改正年月,,,,,,,2020年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020年1月,,2020年1月,,,,,,,,,,,,,,2020年1月,,2020年1月,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和２年８月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
