年月,西暦（年）,月,消費者物価指数/全国,消費者物価指数/東京都 区部,企業物価指数/総平均/全国, 注1) 消費動向指数/世帯消費動向指数（総世帯実質）/全国,生計分析調査（勤労者世帯）/実収入（円）/東京都,生計分析調査（勤労者世帯）/消費支出（円）/東京都,生計分析調査（勤労者世帯）/ 注3)平均消費性向（％）/東京都,生計分析調査（勤労者世帯）/ 注4)公共的料金負担率（％）/東京都, 注2) 実質賃金指数/調 査産業計/東京都
平成12年平均,2000,,99.1,102.1,96.9,- ,643946,372835,69.7,28.9,- 
平成13年平均,2001,,98.4,101,94.7,- ,628068,364721,69.8,29.5,- 
平成14年平均,2002,,97.5,100,92.8,113.8,633711,361608,68.2,29.4,- 
平成15年平均,2003,,97.2,99.6,91.9,112.7,583065,355982,73.2,29.8,- 
平成16年平均,2004,,97.2,99.5,93.1,112.9,596372,362122,72.7,30.1,- 
平成17年平均,2005,,96.9,98.9,94.6,113,578340,352303,72.8,29.5,- 
平成18年平均,2006,,97.2,99,96.7,110.7,585818,350664,72.4,29.5,- 
平成19年平均,2007,,97.2,99.1,98.4,111,574514,346256,73,29.9,- 
平成20年平均,2008,,98.6,100.1,102.9,108.9,581293,343972,72.4,29.2,- 
平成21年平均,2009,,97.2,98.9,97.5,107.7,598723,359096,74.1,29.1,- 
平成22年平均,2010,,96.5,98,97.4,108.2,615748,363141,73.2,28.4,- 
平成23年平均,2011,,96.3,97.5,98.8,105.6,565071,337458,73.8,30.2,104.1
平成24年平均,2012,,96.2,97,98,106.3,575440,348158,75.2,29.6,103.8
平成25年平均,2013,,96.6,97.1,99.2,107.6,578628,363721,78.2,30,104
平成26年平均,2014,,99.2,99.3,102.4,103.6,585636,353261,75.8,28.7,101.3
平成27年平均,2015,,100,100,100,100,574733,354241,77,29.6,100
平成28年平均,2016,,99.9,99.8,96.5,97.4486,605530,356829,73.7,29.9,100.2
平成29年平均,2017,,100.4,100,98.7,96.513,580063,364470,77.9,28.7,100.8
平成30年平均,2018,,101.3,100.9,101.3,96.38,632404,353941,70.3,30.1,100.8
令和元年平均,2019,,101.8,101.7,101.5,96.3651,673468,360606,66.8,29.2,99.5
平成30年4月,2018,4,100.9,100.5,100.6,99.0295,564192,450974,99.5,40.8,84.6
平成30年5月,2018,5,101,100.5,101.1,95.1924,526475,331749,82.3,31.4,88.6
平成30年6月,2018,6,100.9,100.5,101.4,90.3956,998194,292338,38.1,29.5,159.5
平成30年7月,2018,7,101,100.6,101.8,94.5665,681695,378951,71.9,24.4,110.7
平成30年8月,2018,8,101.6,101.3,101.8,96.6016,575871,344332,73.5,27.8,80.1
平成30年9月,2018,9,101.7,101.4,102,91.945,518719,340414,80.9,31.6,81.3
平成30年10月,2018,10,102,101.7,102.4,97.4294,563791,360013,78.4,34,82.6
平成30年11月,2018,11,101.8,101.4,102,94.8199,505964,333899,81.8,27.9,89.3
平成30年12月,2018,12,101.5,101.2,101.4,109.1988,1052313,403001,47.2,24.1,178.6
平成31年1月,2019,1,101.5,101.3,100.8,96.9649,534894,357376,83.5,29.1,81.5
平成31年2月,2019,2,101.5,101.4,101.2,89.8628,532432,315952,72.7,32.4,78.9
平成31年3月,2019,3,101.5,101.4,101.5,104.257,563258,360240,79.8,29.8,89.7
平成31年4月,2019,4,101.8,101.8,101.9,98.606,620256,370113,72.6,35.4,83.3
令和元年5月,2019,5,101.8,101.6,101.7,98.1625,532382,407787,100.6,32.1,85.4
令和元年6月,2019,6,101.6,101.6,101.2,92.5326,1013714,354506,44.9,27.6,158.4
令和元年7月,2019,7,101.6,101.5,101.1,94.4145,772278,371464,61.5,24.3,107.8
令和元年8月,2019,8,101.8,101.8,100.9,97.1668,613614,358348,71.2,26.4,80.1
令和元年9月,2019,9,101.9,101.8,100.9,99.3441,544457,381857,87.4,31.1,81.2
令和元年10月,2019,10,102.2,102.1,102,90.749,605380,334025,67.4,31.4,80.9
令和元年11月,2019,11,102.3,102.2,102.1,90.1576,559504,354028,78,24.6,87.4
令和元年12月,2019,12,102.3,102.2,102.3,104.4603,1189450,361576,37.6,26.1,179.7
令和2年1月,2020,1,102.2,101.9,102.3,92.6604,563659,346351,76.3,28.4,81.1
令和2年2月,2020,2,102,101.8,101.9,88.7554,570442,327464,70.4,29.9,79.5
令和2年3月,2020,3,101.9,101.8,101,94.6206,586958,332215,71.6,31.1,87.7
令和2年4月,2020,4,101.9,102,99.4,85.8927,583275,329344,69.9,39.8,82.5
令和2年5月,2020,5,101.8,102,98.9,81.9744,527280,301232,75,31,80.8
