年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さ　やいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ又はつがる)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和２年８月,2020,8,422,125,112,215,356,110,98,625,284,150,338,332,129,...,262,263,1350,447,977,816,158,704,1871,633,551,1031,216,558,898,300,1934,780,1528,1303,2311,606,627,921,664,1174,1524,721,521,696,507,904,1086,...,342,487,...,830,1504,2065,...,1180,430,708,...,...,265,970,814,199,228,324
令和２年９月,2020,9,415,126,113,217,357,115,195,616,280,151,342,330,133,...,259,226,1324,345,722,391,159,810,1939,584,408,786,200,424,889,264,1194,811,1572,1308,2799,510,594,678,702,935,1593,761,507,662,505,705,792,764,333,481,...,861,1552,1777,...,1396,...,...,...,...,265,990,773,200,239,329
令和２年９月上旬,2020,9上,411,118,107,219,...,116,171,616,285,170,...,...,...,...,...,258,1227,416,776,420,...,761,1895,...,...,...,205,...,...,274,1311,...,...,1308,2621,533,599,677,687,974,...,687,...,...,...,800,901,882,...,...,...,849,1488,1828,...,1357,...,...,...,...,...,...,...,196,229,320
令和２年９月中旬,2020,9中,428,154,122,215,357,121,211,612,283,136,342,330,133,...,259,236,1269,351,657,401,159,828,1905,584,408,786,203,424,889,264,1175,811,1572,1267,2797,504,563,636,709,904,1593,770,507,662,505,710,795,746,333,481,...,852,1590,1771,...,1424,...,...,...,...,265,990,773,195,228,318
令和２年９月下旬,2020,9下,406,104,111,217,...,107,201,621,272,146,...,...,...,...,...,185,1474,267,734,351,...,842,2017,...,...,...,191,...,...,255,1096,...,...,1348,2980,491,621,719,710,928,...,827,...,...,...,605,680,664,...,...,...,882,1578,1731,...,1406,...,...,...,...,...,...,...,207,260,350
令和２年10月上旬,2020,10上,435,118,112,211,...,112,208,615,274,164,...,...,...,429,...,184,1135,239,820,351,...,808,1734,...,...,...,196,...,...,246,1034,...,...,...,2926,466,620,753,860,1043,...,1043,...,...,...,534,591,634,...,...,...,951,...,1750,601,...,...,...,...,...,...,...,...,198,235,345
令和２年10月中旬,2020,10中,408,117,115,209,356,120,162,618,278,171,345,321,126,397,270,187,1023,226,760,368,158,694,1511,537,367,777,193,410,856,243,988,788,1587,...,2745,446,635,785,873,1088,1551,1037,520,699,504,594,559,643,337,476,...,1010,...,1855,506,...,...,...,...,...,262,1015,751,195,232,341
銘柄改正年月,,,,,,,2020年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020年1月,,2020年1月,,,,,,,,,,,,,,2020年1月,,2020年1月,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和２年１０月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
