区分,米穀販売事業者名,米穀販売事業者所在地１,米穀販売事業者所在地２,災害時担当役職,電話,ＦＡＸ,精米工場名,精米工場所在地,精米工場電話,精米工場緊急連絡先
1,東京中央食糧株式会社,中央区日本橋小網町１６－１５,,営業部次長,03-3666-5141,03-3666-7760,,,,
2,東京山手食糧販売協同組合,新宿区西新宿１－１９－６,,常務理事,03-3301-8031,03-3301-8047,川越精米工場,川越市石田本郷１０４０－１,049-224-0581,090-1857-2883
3,三多摩食糧卸協同組合,立川市柴崎町３－１６－２４,杉並区桃井２－２－１,常務理事,042-527-1311,042-524-9374,サンショクライスセンター,武蔵村山市伊那平１－８８－３,042-560-0511,090-3247-5588
4,木徳神糧株式会社,中央区銀座７－２－２２,江戸川区西瑞江２－１４－６,常務取締役,03-5636-1524,03-5636-1603,桶川精米工場,桶川市川田谷字楽上１１１７,048-786-3358,
5,全農パールライス東日本株式会社東京支店,千代田区内神田２－３－４,,執行役員,03-5298-4158,03-3251-2866,調布工場,調布市多摩川１－２９－７,0424-81-2017,0424-87-0740
6,神明マタイ株式会社,台東区元浅草２－６－７,中央区日本橋小網町１６－１５,米穀部長,03-3843-2130,03-3845-1591,東京工場,川口市領家５－５－２４,048-222-8011,090-3236-3556
7,株式会社ニュー・ノザワ・フーズ,東村山市野口町３－１０－１,,取締役,042-393-2316,042-394-6421,ニュー・ノザワ・フーズ精米センター,東村山市野口町３－１０－１,042-391-8411,
8,株式会社ヤマタネ,江東区越中島１－２－２,,米穀部長,03-3820-9280,03-3820-9380,東京精米工場,江東区新木場４－１２－２０,03-3521-0888,
9,東光食糧株式会社,川崎市川崎区東扇島２３－４,,米穀部長,044-287-1051,044-287-1360,精米センター,川崎市川崎区東扇島２３－４,044-287-1098,090-3901-0582
10,株式会社イクタツ,江戸川区松江３－１６－６,,米穀部長,03-3651-5040,03-5607-1919,イクタツ千葉ライスステーション,千葉市花見川区犢橋町１６３４－１,043-258-8861,090-2175-3097
11,東京食糧株式会社,豊島区高松１－１０－２,,業務部長,03-5964-1661,03-5964-1664,,,,
12,株式会社東精,調布市布田２－３４－１,,営業取締役,0424-80-6161,0424-80-6164,,,,
