病院名１,救急,所在地１,所在地２,病床数
都立広尾病院,◎,渋谷区恵比寿２－３４－１０,,482
都立大塚病院,○,豊島区南大塚２－８－１,,508
都立駒込病院,○,文京区本駒込３－１８－２２,,906
都立墨東病院,◎,墨田区江東橋４－２３－１５,,772
都立多摩・小児総合医療センター,◎,府中市武蔵台２－８－２９,多摩,789
都立多摩・小児総合医療センター,◎,府中市武蔵台２－８－２９,小児,561
都立神経病院,,府中市武蔵台２－６－１,,304
都立松沢病院,●,世田谷区上北沢２－１－１,,1148
国立病院機構東京医療センター,◎,目黒区東が丘２－５－１,,780
国立病院機構災害医療センター,◎,立川市緑町３２５６,,455
国立病院機構東京病院,●,清瀬市竹丘３－１－１,,560
国立病院機構村山医療センター,●,武蔵村山市学園２－３７－１,,350
国立国際医療研究センター病院,◎,新宿区戸山１－２１－１,,801
国立成育医療研究センター病院,○,世田谷区大蔵２－１０－１,,490
国立がん研究センター中央病院,,中央区築地５－１－１,,600
国立精神・神経医療研究センター病院,,小平市小川東町４－１－１,,474
国立療養所多磨全生園,,東村山市青葉町４－１－１,,722
