二次保健医療圏,種別,施設名,所在地,区分,電話番号,一般病床数,三次救急,ヘリ
区中央部,拠点,駿河台日本大学病院,千代田区神田駿河台１－８－１３,,03-3293-1711,409,○,
区中央部,拠点,三井記念病院,千代田区神田和泉町１,,03-3862-9111,482,,
区中央部,拠点,聖路加国際病院,中央区明石町９－１,,03-3541-5151,520,○,
区中央部,拠点,東京都済生会中央病院,港区三田１－４－１７,,03-3451-8211,535,○,
区中央部,拠点,東京慈恵会医科大学附属病院,港区西新橋３－１９－１８,,03-3433-1111,1026,,
区中央部,拠点,北里大学北里研究所病院,港区白金５－９－１,,03-3444-6161,294,,
区中央部,☆中核,日本医科大学付属病院,文京区千駄木１－１－５,,03-3822-2131,970,○,
区中央部,拠点,都立駒込病院,文京区本駒込３－１８－２２,,03-3823-2101,876,,
区中央部,拠点,順天堂大学医学部附属順天堂医院,文京区本郷３－１－３,,03-3813-3111,1005,,○
区中央部,拠点,東京医科歯科大学医学部附属病院,文京区湯島１－５－４５,,03-3813-6111,712,○,○
区中央部,拠点,東京大学医学部付属病院,文京区本郷７－３－１,,03-3815-5411,1162,○,○
区中央部,拠点,永寿総合病院,台東区東上野２－２３－１６,,03-3833-8381,354,,○
区南部,拠点,昭和大学病院,品川区旗の台１－５－８,,03-3784-8000,815,○,
区南部,拠点,ＮＴＴ東日本関東病院,品川区東五反田５－９－２２,,03-3448-6111,615,,
区南部,☆中核,東邦大学医療センター大森病院,大田区大森西６－１１－１,,03-3762-4151,936,○,
区南部,拠点,大森赤十字病院,大田区中央４－３０－１,,03-3775-3111,344,,
区南部,拠点,東京都保健医療公社荏原病院,大田区東雪谷４－５－１０,,03-5734-8000,456,,○
区西南部,拠点,独立行政法人国立病院機構東京医療センター,目黒区東が丘２－５－１,,03-3411-0111,730,○,
区西南部,拠点,一般社団法人至誠会第二病院,世田谷区上祖師谷５－１９－１,,03-3300-0366,305,,
区西南部,拠点,公立学校共済組合関東中央病院,世田谷区上用賀６－２５－１,,03-3429-1171,462,,
区西南部,拠点,東京都立松沢病院,世田谷区上北沢２－１－１,,03-3303-7211,90,,
区西南部,★基幹,東京都立広尾病院,渋谷区恵比寿２－３４－１０,,03-3444-1181,452,○,○
区西南部,拠点,日本赤十字社医療センター,渋谷区広尾４－１－２２,,03-3400-1311,708,○,○
区西部,☆中核,東京医科大学病院,新宿区西新宿６－７－１,,03-3342-6111,988,○,
区西部,拠点,慶応義塾大学病院,新宿区信濃町３５,,03-3353-1211,1028,,
区西部,拠点,東京女子医科大学病院,新宿区河田町８－１,,03-3353-8111,1423,○,
区西部,拠点,東京都保健医療公社大久保病院,新宿区歌舞伎町２－４４－１,,03-5273-7711,304,,
区西部,拠点,国立国際医療研究センター病院,新宿区戸山１－２１－１,,03-3202-7181,719,○,○
区西部,拠点,社会保険中央総合病院,新宿区百人町３－２２－１,,03-3364-0251,418,,
区西部,拠点,立正佼成会附属佼成病院,中野区弥生町５－２５－１５,,03-3383-1281,331,,
区西部,拠点,東京医療生活協同組合中野総合病院,中野区中央４－５９－１６,,03-3382-1231,251,,
区西部,拠点,東京警察病院,中野区中野４－２２－１,,03-5343-5611,415,,○
区西部,拠点,医療法人財団荻窪病院,杉並区今川３－１－２４,,03-3399-1101,217,,
区西北部,拠点,東京都立大塚病院,豊島区南大塚２－８－１,,03-3941-3211,508,,
区西北部,拠点,東京北医療センター,北区赤羽台４－１７－５６,,03-5963-3311,280,,
区西北部,拠点,日本大学医学部附属板橋病院,板橋区大谷口上町３０－１,,03-3972-8111,982,○,
区西北部,☆中核,帝京大学医学部附属病院,板橋区加賀２－１１－１,,03-3964-1211,1107,○,○
区西北部,拠点,東京都健康長寿医療センター,板橋区栄町３５－２,,03-3964-1141,550,,
区西北部,拠点,東京都保健医療公社豊島病院,板橋区栄町３３－１,,03-5375-1234,418,,○
区西北部,拠点,練馬光が丘病院,練馬区光が丘２－１１－１,,03-3979-3611,342,,
区西北部,拠点,順天堂大学医学部附属練馬病院,練馬区高野台３－１－１０,,03-5923-3111,400,,
区東北部,☆中核,東京女子医科大学東医療センター,荒川区西尾久２－１－１０,,03-3810-1111,495,○,
区東北部,拠点,医療法人社団成和会西新井病院,足立区西新井本町５－７－１４,,03-3840-7111,296,,
区東北部,拠点,苑田第一病院,足立区竹の塚４－１－１２,,03-3850-5721,221,,
区東北部,拠点,博慈会記念総合病院,足立区鹿浜５－１１－１,,03-3899-1311,311,,
区東北部,拠点,東京慈恵会医科大学葛飾医療センター,葛飾区青戸６－４１－２,,03-3603-2111,356,,
区東北部,拠点,東京都保健医療公社東部地域病院,葛飾区亀有５－１４－１,,03-5682-5111,314,,
区東部,☆中核,東京都立墨東病院,墨田区江東橋４－２３－１５,,03-3633-6151,772,○,○
区東部,拠点,白鬚橋病院,墨田区東向島４－２－１０,,03-3611-6363,199,,
区東部,拠点,江東病院,江東区大島６－８－５,,03-3685-2166,286,,
区東部,拠点,あそか病院,江東区住吉１－１８－１,,03-3632-0290,254,,○
区東部,拠点,順天堂大学医学部附属順天堂江東高齢者医療センター,江東区新砂３－３－２０,,03-5632-3111,219,,
区東部,拠点,がん研究会有明病院,江東区有明３－８－３１,,03-3520-0111,700,,○
区東部,拠点,東京臨海病院,江戸川区臨海町１－４－２,,03-5605-8811,400,,
区東部,拠点,江戸川病院,江戸川区東小岩２－２４－１８,,03-3673-1221,418,,
西多摩,☆中核,青梅市立総合病院,青梅市東青梅４－１６－５,,0428-22-3191,508,○,○
西多摩,拠点,公立阿伎留医療センター,あきる野市引田７８－１,,042-558-0321,310,,
西多摩,拠点,公立福生病院,福生市加美平１－６－１,,042-551-1111,316,,
南多摩,☆中核,東京医科大学八王子医療センター,八王子市館町１１６３,,042-665-5611,608,○,○
南多摩,拠点,東海大学八王子病院,八王子市石川町１８３８,,042-639-1111,500,,○
南多摩,拠点,日本医科大学多摩永山病院,多摩市永山１－７－１,,042-371-2111,401,○,
南多摩,拠点,東京都保健医療公社多摩南部地域病院,多摩市中沢２－１－２,,042-338-5111,318,,
南多摩,拠点,稲城市立病院,稲城市大丸１１７１,,042-377-0931,290,,
南多摩,拠点,町田市民病院,町田市旭町２－１５－４１,,042-722-2230,447,,
南多摩,拠点,日野市立病院,日野市多摩平４－３－１,,042-581-2677,300,,
北多摩西部,★基幹,国立病院機構災害医療センター,立川市緑町３２５６,,042-526-5511,455,○,○
北多摩西部,拠点,東大和病院,東大和市南街１－１３－１２,,042-562-1411,284,,
北多摩南部,拠点,武蔵野赤十字病院,武蔵野市境南町１－２６－１,,0422-32-3111,591,○,○
北多摩南部,☆中核,東京都立多摩・小児総合医療センター,府中市武蔵台２－８－２９,多摩,042-323-5111,705,○,○
北多摩南部,拠点,東京都立多摩・小児総合医療センター,府中市武蔵台２－８－２９,小児,042-300-5111,347,,
北多摩南部,拠点,杏林大学医学部付属病院,三鷹市新川６－２０－２,,0422-47-5511,1121,○,○
北多摩南部,拠点,東京慈恵会医科大学附属第三病院,狛江市和泉本町４－１１－１,,03-3480-1151,534,,
北多摩北部,☆中核,公立昭和病院,小平市花小金井８－１－１,,042-461-0052,512,○,
北多摩北部,拠点,佐々総合病院,西東京市田無町４－２４－１５,,042-461-1535,183,,
北多摩北部,拠点,東京都保健医療公社多摩北部医療センター,東村山市青葉町１－７－１,,042-396-3811,344,,
北多摩北部,拠点,国立病院機構東京病院,清瀬市竹丘３－１－１,,042-491-2111,460,,
合計,,７５施設,,,,39714,26,21
