区分,米穀販売事業者名,所在地,電話,ＦＡＸ,精米工場名,所在地,電話,ＦＡＸ
1,東京山手食糧販売協同組合,杉並区桃井２－２－１　山手荻窪ビル,03-3301-8031,03-3301-8047,川越精米工場,川越市石田本郷１０４０－１,049-224-0581,049-224-7372
2,三多摩食糧卸協同組合,立川市柴崎町３－１６－２４,042-527-1311,042-524-9374,サンショクライスセンター,武蔵村山市伊那平１－８８－３,042-560-0511,042-560-0512
3,木徳神糧株式会社,江戸川区西瑞江２－１４－６　ＮＦビル,03-5636-1524,03-5636-1603,桶川精米工場,桶川市川田谷字楽上１１１７,048-786-3358,048-786-3735
3,木徳神糧株式会社,江戸川区西瑞江２－１４－６　ＮＦビル,03-5636-1524,03-5636-1603,本牧工場,神奈川県横浜市中区かもめ町４２,045-621-5844,045-622-2297
4,全農パールライス東日本株式会社　東京支店,千代田区内神田１－１－１２コープビル２Ｆ,03-3518-0583,03-3291-2338,調布精米工場,調布市多摩川１－２９－７,042-481-2017,042-487-0740
4,全農パールライス東日本株式会社　東京支店,千代田区内神田１－１－１２コープビル２Ｆ,03-3518-0583,03-3291-2338,八王子工場,八王子市北野町５８７－１,042-645-5431,042-645-5001
5,株式会社神明,兵庫県神戸市中央区栄町通６－１－２１,078-371-2131,078-371-1238,東京工場,川口市領家５－５－２４,048-222-8011,048-222-8029
6,株式会社ニュー・ノザワ・フーズ,東村山市野口町３－１０－１,042-393-2316,042-394-6421,ニュー・ノザワ・フーズ精米センター,東村山市野口町３－１０－１,042-393-2316,042-394-6421
7,株式会社ヤマタネ,江東区越中島１－２－２１　ＹＫビル,03-3820-9270,03-3820-9277,東京精米工場,江東区新木場４－１２－１４,03-3521-0888,03-3521-0890
7,株式会社ヤマタネ,江東区越中島１－２－２１　ＹＫビル,03-3820-9270,03-3820-9277,岩槻精米工場,さいたま市岩槻区大字掛５７３,048-758-4471,048-758-4472
8,東光食品株式会社,川崎市川崎区東扇島２３－４,044-287-1084,044-287-1360,精米センター,川崎市川崎区東扇島２３－４,044-287-1098,044-287-1123
9,株式会社イクタツ,江戸川区松江３－１６－６,03-3651-5040,03-5607-1919,イクタツ千葉ライスステーション,千葉市花見川区犢橋町１６３４－１,043-258-8861,043-258-8887
10,東京食糧株式会社,豊島区高松１－１０－２　ＮＨ西池袋ビル６Ｆ,03-5964-1661,03-5964-1664,つくば精米センター,つくば市上岩崎１７７６－２,029-840-1111,029-876-2222
