町村名,面積ｋｍ,人口２０．１．１現在,一般医療機関診療所名,一般医療機関開設,一般医療機関特記,一般医療機関電話,一般医療機関住所,一般医療機関医師,一般医療機関診療科目,一般医療機関病床,歯科医療機関歯科診療所名,歯科医療機関開設,歯科医療機関電話,歯科医療機関歯科医師
大島町,91.06,8898,大島医療センター,町立,,04992-2-2345,大島町元町３－２－９,7,内・外・整・産・小・皮・神・眼・耳,19,岡田歯科,個人,04992-2-9358,1
大島町,※,※,南部診療所,町立,出張,04992-4-0388,差木地字クダッチ,,内・外,0,岡山歯科医院,個人,04992-2-4747,1
大島町,※,※,前田内科クリニック,個人,,04992-2-7700,大島町岡田字助田５６,1,内,0,南部歯科,個人,04992-4-0770,1
大島町,※,※,,,,,,,,,まきデンタルクリニック,個人,04992-2-4182,1
大島町,※,※,,,,,,,,,増木歯科医院,個人,04992-2-0648,1
利島村,4.12,293,利島村診療所,国保,,04992-9-0016,利島村１０５,1,内・外,0,〔歯科〕,,,
新島村,27.77,3121,本村診療所,国保,,04992-5-0083,新島本村４－１０－３,3,内・外・産,10,本村診療所（歯科）,国保,,2
新島村,※,※,若郷診療所,国保,出張,04992-5-0185,新島村若郷１－５,,内・外,0,,,,
新島村,※,※,式根島診療所,国保,,04992-7-0019,式根島３１１－１,1,内・外,2,式根島診療所（歯科）,国保,,1
神津島村,18.87,2050,神津島村診療所,国保,,04992-8-1121,神津島村１００９－１,2,内,6,神津島村診療所（歯科）,国保,,1
神津島村,※,※,,,,,,,,,清水歯科医院,個人,04992-8-1084,1
三宅村,55.5,2897,中央診療所,国保,,04994-2-0016,三宅村神着９３７,3,内・小・外・産・呼・消・循・耳・皮・精,12,三宅島歯科診療所,国保,04994-2-0601,1
三宅村,※,※,坪田診療所,国保,休診,04994-6-1125,三宅村坪田４９９９,,内,0,三宅歯科クリニック,個人,04994-5-0563,1
三宅村,※,※,阿古診療所,国保,休診,04994-5-0041,三宅村阿古２２２４,,内,0,,,,
御蔵島村,20.58,279,御蔵島村診療所,国保,,04994-8-2206,御蔵島村,1,内・外・小・整,2,〔歯科〕,,,
八丈町,72.62,8594,町立八丈病院,国保,,04996-2-1188,八丈町三根２,7,内・小・外・産・消・循・精・神・整・耳・皮,54,坂上歯科診療所,個人,04996-7-0271,1
八丈町,※,※,徳重医院,個人,,04996-2-0086,八丈町三根４２６,1,内,0,八丈町歯科診療所,個人,04996-2-3717,※
八丈町,※,※,村井診療所,個人,,04996-2-0162,八丈町大賀郷１４７９,1,内,0,八丈島協立歯科診療所,法人,04996-2-3560,1
八丈町,※,※,,,,,,,,,浅沼歯科医院,個人,04996-2-3760,1
八丈町,※,※,,,,,,,,,伊澤歯科医院,法人,04996-2-1372,1
八丈町,※,※,,,,,,,,,大賀郷歯科クリニック,個人,04996-2-1354,1
青ヶ島村,5.98,193,青ヶ島村診療所,国保,,04996-9-0123,青ヶ島村,1,内・産・外,2,〔歯科〕,,,
小笠原村,104.41,2416,小笠原村診療所,村立,,04998-2-3800,小笠原村父島清瀬,2,内・産・外・小・精・眼・耳・整・皮,4,小笠原村診療所（歯科）,村立,,1
小笠原村,※,※,,,,,,,,,南歯科医院,個人,04998-2-3331,1
小笠原村,※,※,母島診療所,村立,,04998-3-2115,小笠原村母島元地,1,内・産・外・小・精・眼・耳・整・皮,4,母島診療所（歯科）,村立,,1
島部計,400.91,28741,,18,,,,32,,115,,20,,20
檜原村,105.42,2885,檜原診療所,国保,,042-598-0115,檜原村２７１７,2,内・小・外,2,檜原診療所（歯科）,国保,,1
奥多摩町,225.63,6618,奥多摩病院,国保,,0428-83-2145,奥多摩町氷川１１１１,2,内・外・整,49,,,,
奥多摩町,※,※,日原診療所,国保,出張,0428-83-3550,奥多摩町日原７６８－３,,内・整,0,高橋歯科医院,個人,0428-83-2148,1
奥多摩町,※,※,峰谷診療所,国保,出張,,奥多摩町川野５２９－１,1,内・整,0,,,,
奥多摩町,※,※,古里診療所,公民,,0428-85-2226,奥多摩町小丹波１０８,1,内・外,0,古里歯科診療所,公民,0428-85-2366,1
奥多摩町,※,※,川辺医院,個人,,0428-83-2136,奥多摩町氷川１７７,1,内・外,8,,,,
奥多摩町,※,※,双葉会診療所,法人,,0428-83-3454,奥多摩町梅澤５００,1,内・外・精・放射線,10,,,,
郡部計,331.1,9503,,7,,,,8,,69,,3,,3
合計,732.0,38244,,25,,,,40,,184,,23,,23
