区分,東京都備蓄分都有倉庫毛布（枚）,東京都備蓄分都有倉庫肌着（組）,東京都備蓄分都有倉庫敷物（枚）,東京都備蓄分都有倉庫ローソク（本）,東京都備蓄分寄託倉庫毛布（枚）,東京都備蓄分寄託倉庫肌着（組）,東京都備蓄分寄託倉庫敷物（枚）,東京都備蓄分寄託倉庫ローソク（本）,区市町村備蓄分ローソク（本）,区市町村備蓄分懐中電灯（個）,区市町村備蓄分毛布（枚）,区市町村備蓄分テント（張）,区市町村備蓄分テント（人）,区市町村備蓄分担架（台）,区市町村備蓄分トイレ（個）,区市町村備蓄分浄水装置（個）,区市町村備蓄分被服（枚）,区分
八王子,-,-,-,-,3100,-,300,-,395,-,56787,-,-,-,407,-,7440,八
立川,41150,-,69805,-,2000,-,-,-,48300,41,24300,10,300,150,203,-,18000,立
武蔵野,-,-,-,-,7630,-,2440,-,-,40,34656,-,-,240,708,26,71451,武
三鷹,-,-,-,-,900,-,-,-,27280,2700,21442,37,253,105,315,30,-,三
青梅,2000,-,-,-,3000,-,1020,-,4800,-,1708,3,24,-,20,11,-,青
府中,-,-,-,-,4000,-,1740,-,-,-,40429,13,-,-,268,22,20,府
昭島,-,-,-,-,1500,-,1510,-,-,24,16785,-,-,2,94,12,11288,昭
調布,-,-,-,-,1000,-,800,-,12490,211,29610,-,-,54,145,31,29600,調
町田,-,-,-,-,1450,-,9795,-,4928,75,59592,13,237,66,993,69,-,町
小金井,-,-,-,-,700,-,-,-,-,272,7352,10,200,59,46,41,-,金
小平,-,-,-,-,6400,-,990,-,1569,206,12051,42,420,77,235,-,23900,平
日野,-,-,-,-,150,-,225,-,153,118,2351,-,-,-,499,2,18240,日
東村山,-,-,-,-,1740,-,900,-,2311,175,2770,31,147,95,47,3,-,東
国分寺,-,-,-,-,500,-,300,-,809,361,4517,16,385,31,516,37,-,分
国立,-,-,-,-,6000,-,3125,-,-,21,1005,5,69,7,580,5,11160,国
西東京,-,-,-,-,18120,-,11010,-,1500,15,16750,-,-,6,895,24,-,西
福生,-,-,-,-,1000,-,-,-,-,120,8075,17,380,92,191,-,4720,福
狛江,-,-,-,-,990,-,1025,-,4698,240,2803,24,168,32,122,5,110,狛
東大和,-,-,-,-,1750,-,1000,-,900,230,13840,7,97,49,702,20,-,東
清瀬,-,-,-,-,770,-,-,-,260,158,4955,20,305,37,87,14,-,清
東久留米,-,-,-,-,1470,-,855,-,120,58,6480,5,60,3,85,-,-,久
武蔵村山,-,-,-,-,500,-,300,-,8350,20,2180,53,462,4,803,32,104,武
多摩,-,-,-,-,2080,-,2580,-,5860,50,10420,-,-,10,851,43,35838,多
稲城,-,-,-,-,450,-,495,-,-,182,11600,34,472,83,946,21,19228,稲
羽村,-,-,-,-,250,-,75,-,-,175,5120,3,18,40,76,12,1000,羽
あきる野,-,-,-,-,890,-,510,-,-,20,1935,-,-,-,52,-,-,あ
市計,43150,0,69805,0,68340,0,40995,0,124723,5512,399513,343,3997,1242,9886,460,252099,計
