区分,固定局屋外,固定局戸別,固定局計,移動局小・中学校,移動局警察署,移動局消防署,移動局医療機関,移動局その他,移動局計
千代田,69,223,292,-,-,-,-,4,4
中央,94,96,190,-,-,-,-,20,20
港,119,213,332,28,6,4,6,145,189
新宿,98,403,501,-,-,5,-,63,68
文京,86,304,390,-,-,-,-,12,12
台東,116,-,116,-,-,-,-,47,47
墨田,60,167,227,-,2,2,-,30,34
江東,112,-,112,88,4,3,14,103,212
品川,136,280,416,58,-,-,-,63,121
目黒,59,113,172,-,-,-,-,65,65
大田,200,540,740,-,-,-,-,-,0
世田谷,187,348,535,-,-,-,-,35,35
渋谷,90,144,234,28,3,1,1,54,87
中野,113,501,614,-,-,-,-,84,84
杉並,118,705,823,-,-,-,-,-,0
豊島,76,284,360,12,-,1,-,46,59
北,107,537,644,-,3,3,2,76,84
荒川,104,167,271,-,-,-,-,35,35
板橋,105,308,413,-,3,2,1,197,203
練馬,191,895,1086,-,-,-,-,-,0
足立,183,393,576,-,-,-,-,21,21
葛飾,128,247,375,-,-,-,-,40,40
江戸川,255,332,587,-,-,-,-,28,28
区部計,2806,7200,10006,214,21,21,24,1168,1448
