市部,固定局屋外,固定局戸別,固定局計,移動局小・中学校,移動局警察署,移動局消防署,移動局医療機関,移動局その他,移動局計
八王子,340,419,828,-,-,-,-,-,30
立川,69,-,69,-,-,-,-,30,30
武蔵野,41,97,304,-,-,-,-,0,10
三鷹,54,112,270,-,-,-,-,10,91
青梅,104,-,281,-,1,1,-,79,241
府中,132,45,239,33,1,1,-,125,243
昭島,62,-,310,-,1,1,-,81,198
調布,113,135,668,28,1,1,1,84,306
町田,240,180,474,-,1,1,1,188,191
小金井,54,-,100,-,-,-,-,-,18
小平,46,-,302,-,-,-,-,18,81
日野,119,137,472,-,-,-,-,63,121
東村山,60,156,257,-,-,1,-,57,112
国分寺,41,-,73,-,-,-,-,54,66
国立,32,-,106,-,-,-,-,12,12
西東京,74,-,204,-,-,-,-,-,8
福生,40,90,157,-,-,-,-,8,46
狛江,27,-,79,10,1,1,1,25,111
東大和,52,-,76,15,1,1,1,55,115
清瀬,21,3,118,-,-,-,-,42,45
東久留米,48,46,150,-,-,-,-,3,3
武蔵村山,56,-,289,-,-,-,-,-,136
多摩,115,118,286,-,-,1,-,135,192
稲城,53,-,94,17,-,-,1,38,119
羽村,41,-,1007,-,1,22,-,40,188
あきる野,107,859,5504,16,-,-,-,109,1544
市部計,2141,2397,12717,119,8,31,5,1256,4257
