番号,品名,数量
1,救急医療資材セット新７点セット（医療器具及び薬品）（セット）（セット）,1
2,現場携行用医療資器材（セット）（セット）,1
3,トリアージ・タッグ（枚）（枚）,500
4,ベット兼担架（台）（台）,100
5,毛布（枚）（枚）,100
6,空気枕（個）（個）,100
7,ガートル台（台）（台）,30
8,煮沸消毒用器材（式）（式）,5
9,ポ－タブル発電機及び付属品,病院の規模等に応じて、整備量を設定すること。／ただし、水、常用発電、トイレ（簡易方式）は、使用可能な状況を必ず確保すること。
10,大型投光器,病院の規模等に応じて、整備量を設定すること。／ただし、水、常用発電、トイレ（簡易方式）は、使用可能な状況を必ず確保すること。
11,非常用キャンドル,病院の規模等に応じて、整備量を設定すること。／ただし、水、常用発電、トイレ（簡易方式）は、使用可能な状況を必ず確保すること。
12,組立水槽,病院の規模等に応じて、整備量を設定すること。／ただし、水、常用発電、トイレ（簡易方式）は、使用可能な状況を必ず確保すること。
13,浄水セット,病院の規模等に応じて、整備量を設定すること。／ただし、水、常用発電、トイレ（簡易方式）は、使用可能な状況を必ず確保すること。
14,組立式簡易トイレ,病院の規模等に応じて、整備量を設定すること。／ただし、水、常用発電、トイレ（簡易方式）は、使用可能な状況を必ず確保すること。
15,野外炊飯設備,病院の規模等に応じて、整備量を設定すること。／ただし、水、常用発電、トイレ（簡易方式）は、使用可能な状況を必ず確保すること。
16,非常食,病院の規模等に応じて、整備量を設定すること。／ただし、水、常用発電、トイレ（簡易方式）は、使用可能な状況を必ず確保すること。
