部隊名等（駐屯地・基地名）１,部隊名等（駐屯地・基地名）２,連絡責任者時間内,連絡責任者時間内電話番号,連絡責任者時間内内線,連絡責任者時間外,連絡責任者時間外電話番号,連絡責任者時間外内線
陸上自衛隊,第１師団司令部／（練馬）,第３部長又は同部防衛班長,03-3933-1161,２３８・２６９,司令部当直長,03-3933-1161,７０２・７０３
陸上自衛隊,第１普通科連隊／（練馬）,第３科長又は運用訓練幹部,03-3933-1161,５０３・５１７,部隊当直司令,03-3933-1161,519
陸上自衛隊,第１後方支援連隊／（練馬）,第３科長又は通信施設整備幹部,03-3933-1161,４０３・４０７,部隊当直司令,03-3933-1161,750
陸上自衛隊,第１施設大隊／（朝霞）,第３係主任又は連絡幹部,048-460-1711,４８０３・４８６３,部隊当直司令,048-460-1711,4869
海上自衛隊,横須賀地方総監部／（横須賀）,第３幕僚室長又は国民保護・防災主任,046-822-3522,,オペレーション当直幕僚,046-823-1009,
海上自衛隊,自衛艦隊司令部／（横須賀）,作戦幕僚,046-861-8281,2231,オペレーション当直幕僚,046-861-8286,
海上自衛隊,航空集団司令部／（厚木）,運用幕僚,0467-78-8611,4431,当直幕僚,0467-78-8611,4421
海上自衛隊,第４航空群司令部／（厚木）,作戦幕僚,0467-78-8611,2213,群当直士官,0467-78-8611,2222
海上自衛隊,第２１航空群司令部／（館山）,運用幕僚,0470-22-3191,213,群当直士官,0470-22-3191,222
海上自衛隊,第３１航空群司令部／（岩国）,運用幕僚,0827-22-3181,6213,群当直士官,0827-22-3181,6222
航空自衛隊,作戦システム運用隊／（横田）,企画科長又は防衛班長,042-553-6611,２２５９・２６０４,防空指揮群当直幹部,042-553-6611,2348
