事業者又は団体名,住所,電話１,電話２,船名,トン数,輸送能力,輸送能力（人）,輸送能力容積（ｍ３）,備考１,備考２
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,橘丸,5681,限定沿海１,1060,574.3,貨客船,
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,橘丸,5681,限定沿海２,925,574.3,貨客船,
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,橘丸,5681,限定近海,656,574.3,貨客船,
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,さるびあ丸,4992,沿海,1546,436.2,貨客船,
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,さるびあ丸,4992,限定近海,514,436.2,貨客船,
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,セブンアイランド愛,280,,255,,旅客船,ジェット船
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,セブンアイランド虹,281,,255,,旅客船,ジェット船
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,セブンアイランド夢,281,,255,,旅客船,ジェット船
東海汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,セブンアイランド友,164,,255,,旅客船,ジェット船
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,リバータウン,141,,550,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,アワータウン,138,,320,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,ジュビリー,146,,480,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,竜馬,143,,560,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,道灌,148,,553,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,海舟,146,,540,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,いりす,77,,240,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,ヒミコ,114,,160,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,ホタルナ,167,,261,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,御座船安宅丸,486,,500,,旅客船,
公益財団法人東京都公園協会,墨田区横綱１－２－１５,03-5608-8922,,さくら,54,,140,,旅客船,
公益財団法人東京都公園協会,墨田区横綱１－２－１５,03-5608-8922,,あじさい,54,,140,,旅客船,
公益財団法人東京都公園協会,墨田区横綱１－２－１５,03-5608-8922,,こすもす,76,,200,,旅客船,
公益財団法人東京都公園協会,墨田区横綱１－２－１５,03-5608-8922,,カワセミ,17,,65,,旅客船,
観光汽船興業（株）,中央区日本橋茅場町２－１７－３,03-3457-1071,,アーバンランチⅠ,19,,41,,旅客船,
観光汽船興業（株）,中央区日本橋茅場町２－１７－３,03-3457-1071,,アーバンランチⅡ,19,,41,,旅客船,
観光汽船興業（株）,中央区日本橋茅場町２－１７－３,03-3457-1071,,アーバンランチⅢ,19,,41,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第２８港丸,7,,36,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第３０港丸,11,,34,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第３１港丸,11,,36,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,しらさぎ,12,,36,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第２６東港丸,16,,46,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第２７東港丸,14,,50,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第５５港丸,14,,46,,旅客船,
小笠原海運（株）,港区芝浦３－７－９ＤＫビル８Ｆ,03-3451-5171,,おがさわら丸,6700,,1036,1185.4,貨客船,
伊豆諸島開発（株）,港区海岸３－６－４３,03-3455-3090,,あおがしま丸,460,,50,640.2,貨客船,
伊豆諸島開発（株）,港区海岸３－６－４３,03-3455-3090,,ははじま丸,490,,168,307.7,貨客船,
伊豆諸島開発（株）,港区海岸３－６－４３,03-3455-3090,,ゆり丸,469,,90,930.6,貨客船,
神新汽船（株）,港区海岸１－１６－１ニューピア竹芝サウスタワー５Ｆ,03-3436-1146,,あぜりあ丸,480,,316,217.3,貨客船,
東京都新島村,新島村本村１－１－１,04992-7-0004,,にしき,69,,100,,旅客船,
3,684,0.3,202,0.1,646,0.2,757,0.2
2,6,4,1,3,荳�闊ｬ螳ｶ蜈ｷ,491,0.2,564,0.2,566,0.2,81,0,196,0.1,129,0,777,0.2
2,5,4,2,0,螳､蜀�｣�ｙ繝ｻ陬�｣ｾ蜩�,576,0.2,688,0.2,547,0.2,405,0.2,356,0.1,398,0.1,455,0.1
2,5,4,3,0,蟇晏�鬘�,784,0.2,675,0.2,873,0.2,635,0.3,195,0.1,871,0.3,1008,0.3
2,5,4,4,0,螳ｶ莠矩尅雋ｨ,2304,0.7,2147,0.7,2635,0.7,1340,0.6,1265,0.5,2016,0.7,2444,0.7
2,5,4,5,0,螳ｶ莠狗畑豸郁�怜刀,2804,0.9,2285,0.8,3287,0.9,2266,1,2298,0.9,2813,0.9,2900,0.8
2,5,4,6,0,螳ｶ莠九し繝ｼ繝薙せ,823,0.3,972,0.3,739,0.2,566,0.3,518,0.2,869,0.3,762,0.2
2,4,5,0,0,陲ｫ譛榊所縺ｳ螻･迚ｩ,13654,4.2,11226,3.7,17209,4.8,7274,3.2,8361,3.3,10202,3.4,17041,4.7
2,5,5,1,0,蜥梧恪,120,0,228,0.1,74,0,-,-,-,-,21,0,120,0
2,5,5,2,0,豢区恪,5923,1.8,4360,1.4,7919,2.2,3115,1.4,3816,1.5,4167,1.4,7877,2.2
2,6,5,2,1,逕ｷ蟄千畑豢区恪,1979,0.6,1579,0.5,2711,0.8,353,0.2,257,0.1,1143,0.4,2759,0.8
2,6,5,2,2,蟀ｦ莠ｺ逕ｨ豢区恪,3410,1.1,2775,0.9,4143,1.2,2661,1.2,2884,1.1,2780,0.9,4428,1.2
2,6,5,2,3,蟄蝉ｾ帷畑豢区恪,534,0.2,6,0,1065,0.3,101,0,675,0.3,245,0.1,690,0.2
2,5,5,3,0,繧ｷ繝｣繝��繧ｻ繝ｼ繧ｿ繝ｼ鬘�,2544,0.8,2271,0.8,3059,0.9,1478,0.7,1248,0.5,1859,0.6,2999,0.8
2,6,5,3,1,逕ｷ蟄千畑繧ｷ繝｣繝��繧ｻ繝ｼ繧ｿ繝ｼ鬘�,802,0.2,739,0.2,997,0.3,174,0.1,243,0.1,551,0.2,989,0.3
2,6,5,3,2,蟀ｦ莠ｺ逕ｨ繧ｷ繝｣繝��繧ｻ繝ｼ繧ｿ繝ｼ鬘�,1591,0.5,1532,0.5,1756,0.5,1265,0.6,727,0.3,1266,0.4,1824,0.5
2,6,5,3,3,蟄蝉ｾ帷畑繧ｷ繝｣繝��繧ｻ繝ｼ繧ｿ繝ｼ鬘�,152,0,-,-,306,0.1,39,0,278,0.1,42,0,186,0.1
2,5,5,4,0,荳狗捩鬘�,1111,0.3,912,0.3,1305,0.4,851,0.4,938,0.4,1134,0.4,1203,0.3
2,6,5,4,1,逕ｷ蟄千畑荳狗捩鬘�,326,0.1,340,0.1,347,0.1,165,0.1,193,0.1,303,0.1,345,0.1
2,6,5,4,2,蟀ｦ莠ｺ逕ｨ荳狗捩鬘�,665,0.2,572,0.2,722,0.2,653,0.3,533,0.2,768,0.3,693,0.2
2,6,5,4,3,蟄蝉ｾ帷畑荳狗捩鬘�,120,0,0,0,236,0.1,33,0,211,0.1,63,0,164,0
2,5,5,5,0,逕溷慍繝ｻ邉ｸ鬘�,126,0,153,0.1,122,0,28,0,11,0,119,0,85,0
2,5,5,6,0,莉悶�陲ｫ譛�,971,0.3,840,0.3,1155,0.3,488,0.2,904,0.4,936,0.3,1164,0.3
2,5,5,7,0,螻･迚ｩ鬘�,1847,0.6,1545,0.5,2342,0.7,878,0.4,1032,0.4,1245,0.4,2453,0.7
2,5,5,8,0,陲ｫ譛埼未騾｣繧ｵ繝ｼ繝薙せ,1012,0.3,917,0.3,1233,0.3,436,0.2,412,0.2,720,0.2,1141,0.3
2,4,6,0,0,菫晏▼蛹ｻ逋�,16097,5,19051,6.3,14510,4.1,8430,3.8,5598,2.2,18846,6.2,15158,4.2
2,5,6,1,0,蛹ｻ阮ｬ蜩�,2621,0.8,3266,1.1,2257,0.6,1976,0.9,1229,0.5,2499,0.8,2390,0.7
2,5,6,2,0,蛛･蠎ｷ菫晄戟逕ｨ鞫ょ叙蜩�,1300,0.4,1578,0.5,1122,0.3,881,0.4,695,0.3,1444,0.5,1072,0.3
2,5,6,3,0,菫晏▼蛹ｻ逋ら畑蜩√�蝎ｨ蜈ｷ,2492,0.8,2450,0.8,2619,0.7,1769,0.8,2181,0.9,2619,0.9,2456,0.7
2,5,6,4,0,菫晏▼蛹ｻ逋ゅし繝ｼ繝薙せ,9684,3,11758,3.9,8513,2.4,3804,1.7,1493,0.6,12284,4.1,9240,2.6
2,4,7,0,0,莠､騾壹�騾壻ｿ｡,35656,11.1,35745,11.8,38745,10.8,19944,8.9,28378,11.3,32770,10.9,42971,11.9
2,5,7,1,0,莠､騾�,9201,2.9,8622,2.8,10805,3,4989,2.2,7310,2.9,6491,2.2,12003,3.3
2,5,7,2,0,閾ｪ蜍戊ｻ顔ｭ蛾未菫りｲｻ,13620,4.2,16887,5.6,12323,3.5,5453,2.4,4634,1.8,14783,4.9,15295,4.2
2,6,7,2,1,閾ｪ蜍戊ｻ顔ｭ芽ｳｼ蜈･,3216,1,6263,2.1,1259,0.4,-,-,-,-,4526,1.5,3441,1
