年代１（年）,年代２（年）,年代３（月）,噴火記事
684,天武天皇13,,１１月２９日、大島の西方およそ３５０ｋｍの京都で、東方よりの響きが聞かれた。この噴火により島の西北海岸に土地が増えたといわれる。しかしながらこの記録は、はたして大島に関するものかどうかさだかではない。（日本書記）
1112,天永3,,１１月２２日より月末まで京都において東方よりの鳴動を聞く。またしばしば地震があった。
1338,延元3,,１０月頃大量の降灰、当時三原山は雷鳴のごとき音響と共に火口上に連続的に噴煙柱をあげる活動を続けていたようである。
1415,応永22,,５月２１日、雷鳴のような響きを持った噴火、海水が熱くなった。
1421,応永28,,５月１４日、伊豆大島焼けその響き雷の如く、海水熱湯の如くにして魚多く死す。（鎌倉大日記）
1442,嘉吉2,,８月より翌年にかけて噴火発生、詳細不明
1600又は1601,慶長5又は6,,小活動
1612又は1613,慶長17又は18,,小活動
1634,寛永11,,小活動
1684～1690,貞亨元～元禄3,,１６８４年３月２９日、新しい火口（現在の三原山火口位置か？）より激しい噴火を開始、４月の半ばまで続く。溶岩流出、東～北東方向に流下、海に達す。震動激しく大島の住家の器財を破損、大島５ケ村ともに砂が降り積もり、山中は１ｍ以上、海岸近くの住家のあたりでは数１０ｃｍが積もった。作物は全く実らす、噴火はおよそ７年間続いて終息する。
1695,元禄8,,４月１４日噴火
1777～1792,安永6～寛政4,,噴火活動中最大のものと考えられる。１７７７年８月３１日より噴火開始、鳴動、地震を伴い火山灰、火山毛を噴出、時折は休止することがあるものの、この型の活動が１７７８年２月末まで続く。１７７８年４月１９日、三原山の火口または北部山麓火口より溶岩が流出し、北～北東の谷沿いに４ｋｍ流下、その後活動はおさまり時折黒煙が三原火口より昇るのが見られた。１０月に噴火再開、１１月６日、三原山の南側山麓火口より溶岩流出、西南カルデラ壁を越えて３ｋｍ流下、１１月１４日または１５日、大音響、噴煙とともに他の溶岩流が北東にむかい５ｋｍ離れた海に達した。１２月１８日には一番最初に流下した溶岩流の先端近くで爆発があった。１７８３年より１７８６年にかけてしばしば灰が降り1ｍ以上積もった。多くの家屋が損壊した。
1777～1792,安永6～寛政5,,１７９２年の秋にいたって噴火はおさまった。
1803,亨和3,,１１月１４日噴火：翌日大島より北北東１１０ｋｍの東京（江戸）に降灰
1822～1824,文政5～7,,２、３年の間降灰。諸作物が実らなかった。
1837～1838,天保8～10,,地震と雷のような音響を伴い噴火を開始、硫黄臭を伴った噴煙活動がおよそ２０年間つづく。
1846,弘化3,,やや顕著な活動
1870,明治3,,４日間活動
1876～1877,明治9～10,,１８７６年１２月末より１８７７年２月ごろまで噴火、三原山噴火孔底より噴出、スコリア丘（後にナウマン丘と呼ばれるようになった）をつくる。１８８７年の春にはスコリア丘の一部火孔内に崩壊する。
