所属,所在地,電話番号,機種,機番号,型式,略称
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,大型ジェット飛行機,ＬＡＪ５００,ガルフストリーム・エアロスペース式／Ｇ－Ⅴ型,ガルフＶ
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,大型ジェット飛行機,ＬＡＪ５０１,ガルフストリーム・エアロスペース式／Ｇ－Ⅴ型,ガルフＶ
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,大型飛行機,ＬＡ７０１,日本航空機製造式／ＹＳ－１１Ａ型,ＹＳ１１Ａ
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,大型飛行機,ＬＡ７０２,日本航空機製造式／ＹＳ－１１Ａ型,ＹＳ１１Ａ
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,中型回転翼航空機,ＭＨ８０５,ユーロコプター式／ＡＳ３３２Ｌ１型,スーパーピューマ
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,中型回転翼航空機,ＭＨ８０６,ユーロコプター式／ＡＳ３３２Ｌ１型,スーパーピューマ
巡視船「しきしま」搭載機,,,中型回転翼航空機,ＭＨ６８５,ユーロコプター式／ＡＳ３３２Ｌ１型,スーパーピューマ
巡視船「しきしま」搭載機,,,中型回転翼航空機,ＭＨ６８６,ユーロコプター式／ＡＳ３３２Ｌ１型,スーパーピューマ
巡視船「やしま」搭載機,,,中型回転翼航空機,ＭＨ６８４,ベル式２１２型,ベル２１２
巡視船「やしま」搭載機,,,中型回転翼航空機,ＭＨ９３１,ベル式２１２型,ベル２１２
