都県名,連絡窓口機関別担当課名１,連絡窓口機関別担当課名２,連絡窓口機関別担当課名３,連絡窓口電話番号,連絡窓口電話番号種別
東京都,都,昼,総務局総合防災部防災対策課,13-5671,消防防災無線
東京都,都,昼,総務局総合防災部防災対策課,13-5096,消防防災無線ＦＡＸ
東京都,都,昼,総務局総合防災部防災対策課,01401-2430,ＴＺ
東京都,都,昼,総務局総合防災部防災対策課,03-5321-1111,ＮＴＴ代
東京都,都,昼,総務局総合防災部防災対策課,03-5388-2456,ＮＴＴ
東京都,都,昼,総務局総合防災部防災対策課,03-5388-1260,ＮＴＴＦＡＸ
東京都,都,昼,環境局環境改善部環境保安課,03-5388-3542,ＮＴＴ
東京都,都,夜,夜間防災連絡室,5349,消防防災無線
東京都,都,夜,夜間防災連絡室,5096,消防防災無線ＦＡＸ
東京都,都,夜,夜間防災連絡室,03-5388-2459,ＮＴＴ
東京都,警察,,警視庁警備部災害対策課,03-3581-4321,ＮＴＴ（代）／内５５５１０
東京都,消防本部,,東京消防庁災害救急情報センター,03-3212-2111,ＮＴＴ
東京都,消防本部,,東久留米市消防本部,042-471-0119,ＮＴＴ
東京都,消防本部,,稲城市消防本部,042-377-7119,ＮＴＴ
埼玉県,県,昼,危機管理防災部消防防災課,11-63171,消防防災無線
埼玉県,県,昼,危機管理防災部消防防災課,11-392,地域衛星ＦＡＸ
埼玉県,県,昼,危機管理防災部消防防災課,048-824-2111,ＮＴＴ代
埼玉県,県,昼,危機管理防災部消防防災課,048-830-3171,ＮＴＴ
埼玉県,県,昼,危機管理防災部消防防災課,048-830-4779,ＮＴＴＦＡＸ
埼玉県,県,昼,危機管理防災部化学保安課,048-830-2970,ＮＴＴ
埼玉県,県,昼,危機管理防災部化学保安課,048-830-4768,ＮＴＴＦＡＸ
埼玉県,県,夜,防災無線室,11-63177,消防防災無線
埼玉県,県,夜,防災無線室,11-392,地域衛星ＦＡＸ
埼玉県,県,夜,防災無線室,048-830-3166,ＮＴＴ
埼玉県,警察,,県警察本部（警備課）,048-832-0110,ＮＴＴ（代）
埼玉県,消防本部,,各消防本部,別紙のとおり,
千葉県,県,昼,総務部消防地震防災課消防室,12-7207,消防防災無線
千葉県,県,昼,総務部消防地震防災課消防室,12-7298,消防防災無線ＦＡＸ
千葉県,県,昼,総務部消防地震防災課消防室,043-223-2175,ＮＴＴ
千葉県,県,昼,総務部消防地震防災課消防室,043-222-5208,ＮＴＴＦＡＸ
千葉県,県,昼,商工労働部保安課保安対策室,043-223-2736,ＮＴＴ
千葉県,県,夜,総務部消防地震防災課情報通信管理室,12-7275,消防防災無線
千葉県,県,夜,総務部消防地震防災課情報通信管理室,043-223-2178,ＮＴＴ
千葉県,警察,,県警察本部警備部警備課,043-227-9131,ＮＴＴ（代）／内５７７２
千葉県,消防本部,,各消防本部,別紙のとおり,
神奈川県,県,昼,安全防災局災害消防課,1421,消防防災無線
神奈川県,県,昼,安全防災局災害消防課,1434,消防防災無線ＦＡＸ
神奈川県,県,昼,安全防災局災害消防課,014-100-21,ＴＺ
神奈川県,県,昼,安全防災局災害消防課,045-210-3430,ＮＴＴ
神奈川県,県,昼,安全防災局災害消防課,045-210-8829,ＮＴＴＦＡＸ
神奈川県,県,昼,安全防災局工業保安課,045-210-3475,ＮＴＴ
神奈川県,県,昼,安全防災局工業保安課,045-210-8830,ＮＴＴＦＡＸ
神奈川県,県,夜,安全防災局災害消防課,1421,消防防災無線
神奈川県,県,夜,安全防災局災害消防課,1434,消防防災無線ＦＡＸ
神奈川県,県,夜,安全防災局災害消防課,014-100-21,ＴＺ
神奈川県,県,夜,安全防災局災害消防課,045-210-3456,ＮＴＴ
神奈川県,県,夜,安全防災局災害消防課,045-201-6409,ＮＴＴＦＡＸ
神奈川県,警察,,県警察本部警備部災害対策課,045-211-1212,ＮＴＴ（代）／内５７７１～５７７３
神奈川県,消防本部,,各消防本部,別紙のとおり,
