区分,東京都備蓄分都有倉庫毛布（枚）,東京都備蓄分都有倉庫肌着（組）,東京都備蓄分都有倉庫敷物（枚）,東京都備蓄分都有倉庫ローソク（本）,東京都備蓄分寄託倉庫毛布（枚）,東京都備蓄分寄託倉庫肌着（組）,東京都備蓄分寄託倉庫敷物（枚）,東京都備蓄分寄託倉庫ローソク（本）,区市町村備蓄分ローソク（本）,区市町村備蓄分懐中電灯（個）,区市町村備蓄分毛布（枚）,区市町村備蓄分テント（張）,区市町村備蓄分テント（人）,区市町村備蓄分担架（台）,区市町村備蓄分トイレ（個）,区市町村備蓄分浄水装置（個）,区市町村備蓄分被服（枚）,区分
瑞穂町,-,-,-,-,400,-,300,-,-,-,790,3,60,-,660,14,-,瑞
日の出町,-,-,-,-,710,-,765,-,-,30,710,-,-,3,-,2,-,日
檜原村,-,-,-,-,1300,-,-,-,-,-,620,-,-,-,-,-,-,檜
奥多摩町,-,-,-,-,-,-,-,-,-,-,950,21,273,-,-,4,-,奥
多摩町村計,0,0,0,0,2410,0,1065,0,0,30,3070,24,333,3,660,20,0,計
大島町,443,930,2685,4254,2260,-,3190,-,-,-,17894,6,48,30,-,-,-,大
利島村,-,-,-,-,100,-,-,-,-,-,400,1,1,2,-,2,-,利
新島村,-,-,-,-,3550,-,390,-,-,-,3530,19,130,53,-,-,-,新
神津島村,-,-,-,-,500,-,295,-,-,65,1500,8,64,5,-,-,-,神
三宅村,321,60,200,1700,3430,3000,2200,432,-,-,-,-,-,-,-,-,-,三
御蔵島村,-,-,-,-,300,-,-,-,-,10,422,-,-,-,-,-,-,御
八丈町,650,426,390,3420,1390,-,1140,-,-,-,1390,1,12,2,-,-,-,八
青ヶ島村,-,-,-,-,390,-,180,-,-,30,350,2,20,3,1,1,-,青
小笠原村,2000,280,1800,300,-,-,-,-,100,-,-,4,52,-,-,-,-,小
島しょ町村計,3414,1696,5075,9674,11920,3000,7395,432,100,105,25486,41,327,95,1,3,0,計
都外,,,,,,,,,,,,,,,,,,外
