地区別／区分,第一種造者一般高圧ガス可燃性毒ガス,第一種造者一般高圧ガス可燃性ガス,第一種造者一般高圧ガス毒性ガス,第一種造者一般高圧ガス酸素,第一種造者一般高圧ガスその他,第一種造者一般高圧ガス事業所数,第一種造者冷凍アンモニア,第一種造者冷凍フロンまたは炭酸ガス,第一種造者冷凍事業者数,貯蔵所可燃性毒性ガス,貯蔵所可燃性ガス,貯蔵所毒性ガス,貯蔵所酸素,貯蔵所その他,貯蔵所事業所数
千代田区,,1,,,2,2,,69,69,,,1,2,2,1
中央区,,1,,,0,1,7,41,48,,,,2,2,2
港区,,2,,,1,3,4,65,69,,,2,6,5,3
新宿区,,2,,4,7,3,,36,36,,,2,6,4,3
文京区,,,,,4,2,2,19,21,,,2,12,2,5
台東区,,,,,,,,9,9,,,,,,
墨田区,,1,,,,1,,8,8,,1,,2,3,3
江東区,,6,,7,14,13,3,22,25,,6,1,4,2,9
品川区,,3,,,3,4,1,17,18,2,7,,4,11,1
目黒区,,,,,18,4,,6,6,1,,,3,2,2
大田区,,3,,7,28,2,5,24,29,12,14,2,8,25,1
世田谷区,,5,,2,1,3,,6,6,,2,,1,7,1
渋谷区,,,,,1,1,,21,21,,,1,3,1,1
中野区,,,,,,,,6,6,,,1,2,1,1
杉並区,,1,,,1,2,,4,4,,,,,,
豊島区,,,,,,,,10,10,,,1,,,
北区,,3,,,7,5,1,6,7,1,1,,1,3,1
荒川区,,11,,,2,3,,1,1,,5,,3,13,2
板橋区,,4,,4,8,7,,10,10,1,4,,2,4,5
練馬区,,2,,,2,2,,3,3,,,,,,1
足立区,,4,,2,2,5,2,3,5,,,,,,
葛飾区,,1,8,,1,2,1,6,7,,1,,,1,1
江戸川区,,4,,6,13,7,1,9,10,1,9,2,7,15,6
