地区,名称,所在地,電話番号,経営者
２３区９施設,瑞江葬儀所,江戸川区春江町３－２６－１,03-3670-0132,東京都
２３区９施設,町屋斎場,荒川区町屋１－２３－４,03-3892-0311,東京博善（株）
２３区９施設,落合斎場,新宿区上落合３－３４－１２,03-3361-4042,東京博善（株）
２３区９施設,代々幡斎場,渋谷区西原２－４２－１,03-3466-1006,東京博善（株）
２３区９施設,四ツ木斎場,葛飾区白鳥２－９－１,03-3601-0424,東京博善（株）
２３区９施設,桐ヶ谷火葬場,品川区西五反田５－３２－２０,03-3491-0213,東京博善（株）
２３区９施設,堀ノ内斎場,杉並区梅里１－２－２７,03-3311-2324,東京博善（株）
２３区９施設,戸田葬祭場,板橋区舟渡４－１５－１,03-3966-4241,（株）戸田葬祭場
２３区９施設,臨海斎場,大田区東海１－３－１,03-5755-2833,臨海部広域斎場組合
多摩地区９施設,青梅市火葬場,青梅市長淵５－７４３,0428-22-3918,青梅市
多摩地区９施設,瑞穂斎場,瑞穂町大字富士山栗原新田２４４,042-557-0064,瑞穂斎場組合
多摩地区９施設,想い出を語るロマンの杜ひので斎場,日の出町大字平井３０９２,042-597-2131,秋川流域斎場組合
多摩地区９施設,八王子市斎場,八王子市山田町１６８１－２,0426-64-5707,八王子市
多摩地区９施設,日野市営火葬場,日野市多摩平３－２８－８,042-583-8888,日野市
多摩地区９施設,南多摩斎場,町田市上小山田町２１４７,042-797-7641,南多摩斎場組合
多摩地区９施設,立川・昭島・国立火葬場,立川市羽衣町３－２０－１８,042-522-2730,立川・昭島・国立聖苑組合
多摩地区９施設,日華多磨葬祭場,府中市多磨町２－１－１,042-361-2174,（株）日華
多摩地区９施設,府中の森市民聖苑,府中市浅間町１－３,042-367-7788,府中市
島しょ８施設,八丈町火葬場,八丈町三根３４８１,04996-2-3020,八丈町
島しょ８施設,小笠原村父島火葬場,小笠原村父島字洲崎,04998-2-3111,小笠原村
島しょ８施設,小笠原村母島火葬場,小笠原村母島字評議平,04998-2-3111,小笠原村
島しょ８施設,新島村火葬場,新島村字道下７７－１,04992-5-1110,新島村
島しょ８施設,式根島火葬場,新島村式根島８５６－３,04992-7-0373,新島村
島しょ８施設,神津島村火葬場,神津島村字金長,04992-8-1250,神津島村
島しょ８施設,大島町火葬場,大島町元町字黒ママ３５２－３,04992-2-2914,大島町
島しょ８施設,三宅村火葬場,三宅村阿古５４８－１０,04994-5-0423,三宅村
,２６ヶ所,,,
