区分,はやぶさ１号,はやぶさ２号,はやぶさ３号,はやぶさ４号,おおとり１号,おおとり２号,おおとり３号,おおとり４号,おおとり５号,おおとり６号,おおとり７号,おおとり８号,おおぞら１号,おおぞら２号
巡航速度（ｋｍ／ｈ）,218,218,218,285,271,290,290,290,226,226,226,226,278,272
航続時間,2:50,2:50,2:50,3:00,4:30,5:10,5:10,5:10,3:00,3:30,3:30,3:30,6:30,4:00
有効搭載量（ｋｇ）,736,770,770,904,1642,2132,2132,2132,1668,1732,1801,1815,4715,4842
座席数（席）,7,7,7,8,14,15,15,15,13,13,13,13,33,22
離着陸面積,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）,江東飛行センター（駐機スポット３８）立川飛行センター１００ｍ×６０ｍ（駐機スポット１０）
使用燃料,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１
耐風性（ｍ／ｓ）,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8
最小視程（ｋｍ）,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上,通常は５以上、緊急時は１．５以上
最低雲高（ｍ）,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上
夜間飛行,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能
山間部飛行,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能
テレビカメラ搭載装置,○,-,○,○,○,○,-,○,○,○,-,-,-,-
救助用吊上装置（ｋｇ）,136,136,136,275,272,272,272,272,272,272,272,272,272,272
吊下装置（カーゴフック）（ｋｇ）,907,907,907,1000,1600,-,-,-,2041,2041,2041,2041,4500,3600
担架装置（リッターキット）（人）,2,2,2,1,-,-,-,-,3,3,-,-,8,3
投光機（サーチライト）,○,○,○,○,○,○,○,○,○,○,○,○,○,○
拡声器（スピーカー）,○,○,○,○,○,○,○,○,-,-,-,-,-,-
地震判読システム搭載用装置,○,-,○,-,○,○,-,○,○,-,-,-,-,-
