年代１（年）,年代２（年）,噴火記事
1085,応徳2,噴火
1154,久寿元,１１月噴火
1469,応仁3,１２月噴火
1535,天文4,３月噴火
1595,文禄4,１１月噴火
1643,寛永20,３月噴火。３週間続く。阿古の村民は住居、農地を失い移住
1712,正徳元,２月噴火。２週間続く。有感地震が頻発して２時間後の２０時に山麓で噴火。溶岩海中まで流出。阿古村で泥水が湧きだし、多くの家屋の埋没。
1763～1769,宝暦13～明和6,８月山頂から噴火。翌日、阿古村薄木より噴火。噴石、降灰、湧水多量
1811,文化8,１月山頂から噴火。東北東へ火口移動。１週間続く。
1835,天保6,１１月地震、鳴動頻繁、西山腹で噴火。噴火終了後も地震頻発
1874,明治7,７月３日噴火。西北山腹より大小の噴石を飛ばす。溶岩流下により東郷部落の３０軒余が埋没、焼失
1940,昭和15,地熱の上昇、噴気の発現、地鳴り等が噴火前に気付かれる。７月１２日１９時３０分頃雄山北東山腹より噴火。１３日の夜半よりは、山頂中央火口丘の大穴火口で噴火。多量の降灰。８月１５日には終息、死者１１人
1962,昭和37,８月２４日２２時１５分噴火。山腹中部火口群（海抜１５０～２００ｍ）から始まり、上方、下方への裂線が拡大。２３時頃には火柱が山腹から海岸まで並ぶ。２６日に終息。噴火終了後、Ｍ＝５．９の地震発生。８月３０日には有感地震１５００回以上
1983,昭和58,１０月３日１５時２０分噴火。噴火前に５回の有感地震観測。南西山麓より始まり、上方、下方に割れ目火口が成長。山腹の火口より谷筋を流下した溶岩は、都道を横切って阿古集落へ流れ込み、４００棟を超える住家を埋没、焼き尽くした。粟辺に向かった溶岩は都道を横切り海岸線に達した。１６時４０分には南側山麓でマグマ水蒸気爆発。新鼻海岸付近でも火口が開口。これらの火口より噴出した火山砂礫、灰等により、住宅、農地、山林が埋まる。翌４日の６時に終息。噴火開始後約２時間は大振幅の連続微動が続いたが、次第に減衰。２２時３３分、Ｍ＝６．２の地震発生。がけ崩れ等の被害発生
2000,平成12,６月２６日１８時３０分頃から地震発生。６月２８日、西方海域で海底噴火。７月８日１８時４３分山頂で噴火。７月１４～１５日、８月１０日、１３日、１４日、１８日、２９日、９月９日にも山頂噴火。噴火により山頂カルデラ内に直径１．６ｋｍ、深さ４５０ｍの陥没孔が出現。大量の降灰があり、８月１８日には溶岩も噴出した。８月２９日の噴火では低温の火砕流発生。火山性ガスの噴出は当初１日あたり数万トンにおよび、平成１７年半ば以降は１日あたり２～３千トンで推移しており、火山活動は継続中。
