区分,品名,数量１（ｇ）,数量２,所在名称,所在住所,所在電話,製品名,調達連絡先名称,調達連絡先住所,調達連絡先電話,調達在庫場所
備蓄,調整粉乳（缶）,6350400,19845,鴻池運輸（株）東京支店青梅流通センター営業所,青梅市今井３－８－４,0428-32-4551,森永ドライミルクはぐくみ３２０ｇ缶,,,,
備蓄,調整粉乳（箱）,6463152,9974,明治乳業（株）埼玉工場倉庫,埼玉県春日部市南栄町１－５,048-754-7101,明治ほほえみらくらくキューブ６４８ｇ箱,,,,
備蓄,調整粉乳（缶）,6436800,21456,ビーンスターク・スノー（株）群馬工場,群馬県邑楽郡大泉町吉田１２０１,0276-63-1211,ビーンスタークすこやか３００ｇ缶,,,,
備蓄,計,19250352,,,,,（管理）福祉保健局少子社会対策部子ども医療課,,,,
備蓄,ほ乳びん（本）,,10000,ピジョン（株）筑波事務所,茨城県稲敷郡阿見町香澄の里３６－３,029-889-3625,プラスチック製ほ乳びんシリコンゴム乳首付２４０ｍｌ５０００本、１６０ｍｌ５０００本,,,,
備蓄,計（本）,,10000,,,,（管理）福祉保健局少子社会対策部子ども医療課,,,,
調達,調整粉乳,,,,,,森永ドライミルクはぐくみ３２０ｇ缶,森永乳業（株）,港区芝５－３３－１,03-5479-4671,鴻池運輸（株）東京支店
調達,調整粉乳,,,,,,明治ほほえみらくらくキューブ６４８ｇ箱,明治乳業（株）,江東区新砂１－２－１０,03-5653-0381,明治乳業（株）埼玉工場倉庫
調達,調整粉乳,,,,,,ビーンスタークすこやか３００ｇ缶,ビーンスターク・スノー（株）,新宿区本塩町１３番地,03-3226-2130,ビーンスターク・スノー（株）群馬工場
調達,ほ乳びん,,,,,,,ピジョン（株）,中央区日本橋久松町４－４,03-3661-4271,ピジョン（株）筑波事務所
