機種１,機種２,機種３,機種４,性能巡航速度（ｋｍ／ｈ）,性能航続時間（ｈ）,性能航続距（ｋｍ）,性能搭載能力：人,性能搭載能力：物資（ｋｇ）,性能離着陸場所要面積（長さ×巾ｍ）,性能使用燃料,飛行制限最少視程（ｋｍ）,飛行制限最低雲高（ｍ）,飛行制限備考,装備部隊
回転翼機（ヘリコプター）,ＯＨ－６Ｄ,中型ヘリ,,239,,435,２＋２,,３０×３０,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
回転翼機（ヘリコプター）,ＵＨ１Ｈ,中型ヘリ,,215,,420,２＋１１,,４０×４０,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
回転翼機（ヘリコプター）,ＵＨ１Ｊ,中型ヘリ,,216,,370,２＋１１,,４０×４０,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
回転翼機（ヘリコプター）,６０ＪＡ,中型ヘリ,,240,,470,２＋１２,,４０×４０,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
回転翼機（ヘリコプター）,ＣＨ４７Ｊ,大型ヘリ,,267,,537,３＋５５,,１００×１００,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
回転翼機（ヘリコプター）,ＣＨ４７ＪＡ,大型ヘリ,,257,,1037,３＋５５,,１００×１００,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
回転翼機（ヘリコプター）,ＡＨ－１Ｓ,対戦車ヘリ,,233,,520,２＋０,,４０×４０,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
回転翼機（ヘリコプター）,ＣＨ－４７,大型,,270,2.0,,48,,１００×１００,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,陸上自衛隊
回転翼機（ヘリコプター）,ＣＨ４７Ｊ,大型ヘリ,,257,,1111,３＋５５,,１００×１００,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
回転翼機（ヘリコプター）,ＵＨ－６０Ｊ,中型ヘリ,,243,,463,２＋０,,１００×１００,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,ＬＲ－１,連絡偵察機,,460,,1325,２＋５,,滑走４２０,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,ＬＲ－２,連絡偵察機,,440,,1800,２＋８,,滑走１００６,ＪＰ－４,5.0,300,ＶＭＣ基準,陸上自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,Ｕ－４（Ｊ）,多用途支援機,,Ｍ０．８,,6575,15,,２００×４５,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,Ｕ－１２５Ａ（Ｊ）,捜索救難機,,820,,4000,4,,１５００×４５,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,ＹＳ－１１,輸送機,,432,2.7,,46,4600,８７０×４５,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,Ｃ－１（Ｊ）,輸送機,,570,3.2,,64,8000,６４０×４５,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,Ｃ－１３０Ｈ,輸送機,愛知県小牧基地,620,,4000,72,,１５００×４５,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,Ｔ－４００（Ｊ）,輸送機,鳥取県美保基地,870,,3000,6,,１５００×４５,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,Ｔ－４（Ｊ）,複座連絡機,,640,1.5,,2,,６１０×４５,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
固定翼機（レシプロ及びジェット（Ｊ））,ＲＦ－４Ｅ（Ｊ）,複座偵察機,,720,1.5,,2,,８００×４５,ＪＰ－４Ａ,5.0,300,ＶＭＣ基準,航空自衛隊
