区分,はやぶさ１号,はやぶさ２号,はやぶさ３号,はやぶさ４号,おおとり１号,おおとり２号,おおとり３号,おおとり４号,おおとり５号,おおとり６号,おおとり７号,おおとり８号,おおぞら１号,おおぞら２号
巡航速度（ｋｍ／ｈ）,218,218,218,285,271,290,226,290,226,226,226,226,278,250
航続時間,2:50,2:50,2:50,3:03,4:30,4:30,4:30,5:10,3:00,3:30,3:30,3:30,5:30,4:50
有効搭載量（ｋｇ）,736,638,770,904,1642,2132,1771,2132,1668,1732,1801,1815,4715,3068
座席数（席）,7,7,7,8,14,17,15,17,13,13,13,13,33,22
離着陸面積（ｍ）,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５,４５×４５
使用燃料,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１
耐風性（ｍ／ｓ）,14.4,14.4,14.4,16.6,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,22.2,19.4
最小視程,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上,通常は５ｋｍ以上、緊急時は１．５ｋｍ以上
最低雲高,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上,４５０ｍ以上
夜間飛行,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能,法に定められた地上設備を有する場所であれば離着陸可能
山間部飛行,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能,視程、風速等気象上の制約がなければ上昇性能、停止飛行可能範囲で可能
テレビカメラ搭載装置,○,○,○,-,○,-,○,○,○,○,○※１,○※１,-,-
救助用吊上装置（ｋｇ）,136,136,136,272,272,272,272,272,272,272,272,272,272,272
吊下装置（カーゴフック）（ｋｇ）,907,907,907,1000,2041,2041,2041,-,2041,2041,-,-,4500,4500
担架装置（リッターキット）（人）,2,2,2,1,-,3,3,-,3,3,-,-,8,3
投光機（サーチライト）,○,○,○,○,○,○,○,○,○,○,○,○,○,○
拡声器（スピーカー）,○,○,○,○,○,○,○,○,○,○,-,-,○,○
地震判読システム搭載用装置,-,-,-,-,-,○,-,-,○,○,-,-,-,-
備考,１飛行速度、航続時間、搭載量、停止飛行ともに機種別の全重量を基本に算出してあるが、重量が軽くなれば効率がよくなる。／２性能はいずれも標準大気１５℃を基準としており、温度が上昇すれば効率は低下する。／３※１機内用赤外線カメラ,,,,,,,,,,,,,
