所属,所在地,電話番号,緊急通報用電話番号,船種,船名,総トン数,全長（ｍ）,喫水（ｍ）
東京海上保安部,東京都江東区青海２－７－１１,03-5564-2021,03-5564-4999,巡視艇,まつなみ,204,38,3.3
東京海上保安部,東京都江東区青海２－７－１１,03-5564-2021,03-5564-4999,巡視艇,ゆりかぜ,24,20,2.3
東京海上保安部,東京都江東区青海２－７－１１,03-5564-2021,03-5564-4999,巡視艇,ゆめかぜ,24,20,2.3
東京海上保安部,東京都江東区青海２－７－１１,03-5564-2021,03-5564-4999,巡視艇,いそぎく,25,20,2.3
東京海上保安部,東京都江東区青海２－７－１１,03-5564-2021,03-5564-4999,巡視艇,やまぶき,25,20,2.3
東京海上保安部,東京都江東区青海２－７－１１,03-5564-2021,03-5564-4999,巡視艇,はやかぜ,19,17,2.0
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,ヘリコプター搭載型巡視船,しきしま,6500,150,10.0
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,ヘリコプター搭載型巡視船,あきつしま,6500,150,10.0
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視船,いず,3680,110,7.5
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視船,しきね,1324,89,3.5
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,消防船ひりゅう,,322,35,5.5
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,はまなみ,113,35,3.4
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,はまぐも,116,35,3.4
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,いそづき,123,26,3.3
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,きりかぜ,24,20,2.3
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,はまかぜ,24,20,2.3
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,やまゆり,26,20,2.3
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,しおかぜ,24,20,2.3
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,たまかぜ,24,20,2.3
横浜海上保安部,横浜市中区新港１－２－１,045-201-1673,045-641-4999,巡視艇,のげかぜ,25,20,2.3
下田海上保安部,静岡県下田市３－１８－２３,0558-22-0650,0558-22-4999,巡視船,あまぎ,1320,89,3.5
下田海上保安部,静岡県下田市３－１８－２３,0558-22-0650,0558-22-4999,巡視船,かの,358,56,2.7
下田海上保安部,静岡県下田市３－１８－２３,0558-22-0650,0558-22-4999,巡視艇,いずなみ,104,32,3.3
