区分１,区分２,区分３,数量,金額（評価額）（円）,備考
都福祉保健局,食料品・生活必需品,クラッカー（食）,452289,42897903,
都福祉保健局,食料品・生活必需品,アルファ化米（食）,922000,171075115,
都福祉保健局,食料品・生活必需品,即席めん（食）,12000000,154980000,
都福祉保健局,食料品・生活必需品,毛布（枚）,889403,2329487245,
都福祉保健局,食料品・生活必需品,ビニールゴザ・カーペット（枚）,981337,965818825,
都福祉保健局,食料品・生活必需品,肌着（組）,288090,194479635,
都福祉保健局,食料品・生活必需品,安全キャンドル（本）,179429,132407770,
都福祉保健局,食料品・生活必需品,木炭（袋）,26800,112660430,
都福祉保健局,食料品・生活必需品,コンロ（個）,20650,49426580,
都福祉保健局,食料品・生活必需品,なべセット（個）,23998,58828582,
都福祉保健局,食料品・生活必需品,やかん（個）,7998,23708791,
都福祉保健局,食料品・生活必需品,簡易風呂・シャワー（組）,30,89939600,
都福祉保健局,食料品・生活必需品,簡易トイレ（組）,9690,16007880,
都福祉保健局,食料品・生活必需品,折畳式リヤカー（台）,100,9888000,
都福祉保健局,食料品・生活必需品,水袋詰機（機）,5,44805000,
都福祉保健局,食料品・生活必需品,家庭用テント（張）,964,28903901,
都福祉保健局,食料品・生活必需品,ビッグテント（張）,17,28191100,
都福祉保健局,食料品・生活必需品,調製粉乳（ｇ）,19033272,32201133,
都福祉保健局,食料品・生活必需品,ほ乳びん（本）,10000,5528250,
都福祉保健局,食料品・生活必需品,医薬品（人分）,186195,464157202,
合計,,,,4955392942,
