地区別／業種別,第一種製造所スタンド,第一種製造所充てん所,第一種製造所充てん所（スタンド兼業の内数）,第一種製造所消費,販売事業所
千代田区,,,,,2
中央区,,,,,3
港区,1,,,,4
新宿区,2,,,,4
文京区,1,,,,1
台東区,1,,,,2
墨田区,2,,,,12
江東区,8,1,1,,14
品川区,6,1,1,,4
目黒区,3,,,,1
大田区,4,,,,19
世田谷区,7,1,1,,31
渋谷区,2,,,,3
中野区,5,,,,5
杉並区,3,,,,9
豊島区,0,,,,8
板橋区,9,,,,42
練馬区,2,1,,,56
北区,6,1,,,20
荒川区,1,,,,13
足立区,12,2,1,,88
葛飾区,5,1,1,,63
江戸川区,2,,,,74
八王子市,2,3,1,1,51
立川市,1,,,,22
武蔵野市,,,,,2
三鷹市,3,,,,5
青梅市,2,2,2,1,27
府中市,2,1,1,,9
昭島市,1,3,,,22
調布市,1,,,,11
町田市,4,2,2,,26
小金井市,1,,,,3
小平市,,,,,13
日野市,,,,1,14
東村山市,,,,,11
国分寺市,,,,,2
国立市,,,,,3
西東京市,2,2,2,,12
福生市,3,3,2,1,14
狛江市,,,,,2
東大和市,,,,,6
清瀬市,,,,,5
東久留米市,,,,,8
武蔵村山市,,1,,,16
多摩市,1,,,,2
稲城市,,,,,5
あきる野市,,,,1,19
羽村市,,3,,2,14
瑞穂町,1,2,1,2,15
日の出町,,,,,3
奥多摩町,,,,,7
檜原村,,,,,4
大島町,,,,,8
三宅村,1,,,,4
御蔵島村,,,,,1
八丈町,2,,,,7
新島村,,,,,4
神津島村,,,,,2
利島村,,,,,1
青ヶ島村,,,,,1
小笠原村,,,,,3
市外,,,,,5
合計,,,,,867
