階層コード,地域コード,地域,人口総数／令和4年3月1日,人口総数／令和4年2月1日,人口総数／令和3年3月1日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13778843,13787289,13825313,-8446,-0.06,-46470,-0.34
1,13100,区部,9512192,9517529,9558239,-5337,-0.06,-46047,-0.48
1,13200,市部,4186388,4189453,4186026,-3065,-0.07,362,0.01
1,13300,郡部,55766,55773,56173,-7,-0.01,-407,-0.72
1,13350,島部,24497,24534,24875,-37,-0.15,-378,-1.52
,,,,,,,,,
住民基本台帳による世帯と人口　令和4年3月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
注）増減数及び増減率で減（マイナス）の場合は「-」で表す。,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
