"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202205","リライフ整骨院","東京都港区新橋三丁目11番9号","烏森通りビル3階","03-6435-8382","2022/5/16","柔道整復","35.666281","139.755725"
"202205","南青山ブルー整骨院","東京都港区南青山二丁目2番15号","ウィン青山423",,"2022/5/16","柔道整復","35.671444","139.723779"
"202206","南青山ＰＩＣＳ整骨院","東京都港区南青山三丁目8番7号","クレアトゥール南青山301","03-6721-0608","2022/6/1","柔道整復","35.667176","139.715851"
"202210","ｉＣｕｒｅ接骨院　溜池山王","東京都港区赤坂二丁目10番16号","新陽ビル2階","03-5570-1800","2022/10/1","柔道整復","35.670661","139.741512"
"202210","ｉＣｕｒｅ接骨院　虎ノ門","東京都港区西新橋一丁目12番6号","白井ビル1階","03-6205-7700","2022/10/1","柔道整復","35.668298","139.753329"
"202210","薬師堂","東京都港区三田二丁目12番5号","5階",,"2022/9/21","柔道整復","35.649947","139.744071"
"202211","ｉＣｕｒｅ接骨院　虎ノ門","東京都港区西新橋一丁目12番6号","白井ビル2階","03-6205-7700","2022/11/1","柔道整復","35.668298","139.753329"
"202211","一会堂整骨院","東京都港区三田二丁目14番7号","ローレル三田406",,"2022/11/27","柔道整復","35.648594","139.744385"
"202301","ｉＣｕｒｅ接骨院　田町駅前","東京都港区芝五丁目31番5号","MEFULL田町3階","03-5442-1939","2023/1/1","柔道整復","35.646742","139.746183"
"202301","六本木アキバ整骨院","東京都港区六本木三丁目16番23号","タウンコート六本木101号","03-5544-9111","2023/1/10","柔道整復","35.66215","139.73677"
"202302","あすも整骨院","東京都港区高輪四丁目21番1号","202","03-3445-1831","2023/2/6","柔道整復","35.626672","139.735329"
"202302","美ノ源接骨院東京","東京都港区西新橋三丁目23番7号","西新橋ビル7F","03-6450-2347","2023/2/1","柔道整復","35.661870","139.751612"
"202303","Ｒｅ：ｔｒｅａｔ　（柔整）","東京都港区南青山二丁目29番8号","フロンティアビルディング南青山5階",,"2023/3/1","柔道整復","35.667939","139.717859"
"202303","六本木ミッドタウン前整骨院","東京都港区六本木四丁目9番5号","ISO六本木ビル2F","03-6721-0066","2023/3/31","柔道整復","35.663614","139.732531"

"施術所（柔整）開設一覧(令和5年3月31日現在)","Ver202303",,,,,,,
