規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,520599,470951,431929,39022,49648,160870,160021,151432,8589,849
100～499人,446825,415874,386340,29534,30951,128839,126157,120773,5384,2682
100人以上,484313,443861,409506,34355,40452,143430,141583,134739,6844,1847
30～99人,393050,384392,356753,27639,8658,100116,99255,96147,3108,861
５～29人,378954,359900,339628,20272,19054,97239,95838,92848,2990,1401
30人以上,458267,426889,394451,32438,31378,123606,122210,117076,5134,1396
５人以上,438731,410388,380946,29442,28343,111307,109909,105775,4134,1398
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年４月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
