規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,447774,531857,311387,416674,492937,292971,384484,32190,31100,38920,18416
100～499人,380731,442394,270316,359952,417087,257644,333175,26777,20779,25307,12672
100人以上,412434,483883,290376,386774,452263,274899,357438,29336,25660,31620,15477
30～99人,320219,391046,232183,308674,378140,222330,292038,16636,11545,12906,9853
５～29人,267139,332180,190417,252493,314428,179435,240209,12284,14646,17752,10982
30人以上,380207,454116,267480,359480,428496,254215,334582,24898,20727,25620,13265
５人以上,344955,418911,240956,326124,395563,228477,305159,20965,18831,23348,12479
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（暫定版）,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
