規模,産業,１人平均支給額（円）,１人平均支給額／前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,平均支給月数／前年支給月数差（か月）
30人以上,調査産業計,615438,3.2,88.9,91,1.38,0.07
30人以上,建設業,797264,20,87.6,93.7,1.69,0.23
30人以上,製造業,950667,8.1,81.9,91.9,1.76,0.12
30人以上,電気・ガス・熱供給・水道業,706902,-29.7,81.8,76.1,1.52,-1.19
30人以上,情報通信業,668611,4.3,91.6,95.2,1.52,0.13
30人以上,運輸業，郵便業,542915,-0.4,98.2,97.7,1.39,0.05
30人以上,卸売業，小売業,639105,-1.1,91.2,93.1,1.35,-0.07
30人以上,"金融業,保険業",852264,-0.9,91.6,91.6,2.05,0.04
30人以上,不動産業，物品賃貸業,734027,9.2,82.7,88.6,1.79,0.04
30人以上,学術研究，専門・技術サービス業,746074,2.7,81.8,81.9,1.87,0.27
30人以上,宿泊業，飲食サービス業,129849,7.4,83.9,73,0.44,-0.04
30人以上,生活関連サービス業，娯楽業,214590,1.9,91.5,95,0.92,-0.07
30人以上,教育，学習支援業,645282,-5.1,99.1,99.4,1.74,-0.01
30人以上,医療，福祉,455225,2,79.2,80.2,1.2,-0.09
30人以上,複合サービス事業,731235,0.6,100,100,2.19,0.21
30人以上,サービス業（他に分類されないもの）,280472,-2.4,88.5,89.9,1.08,0.1
30～99人,調査産業計,437048,4.6,87.6,87.7,1.3,0.06
30～99人,建設業,602706,25.1,83.3,83.1,1.56,0.22
30～99人,製造業,608445,-10,76.3,79.7,1.56,0
30～99人,電気・ガス・熱供給・水道業,×,×,×,×,×,×
30～99人,情報通信業,513637,25.6,88.9,86.9,1.42,0.25
30～99人,運輸業，郵便業,353525,-1.1,100,100,1.35,0.09
30～99人,卸売業，小売業,447601,3.8,90.3,90.9,1.27,-0.09
30～99人,"金融業,保険業",716089,12.1,90.9,92.1,2.04,0.06
30～99人,不動産業，物品賃貸業,635617,10.8,79.5,81.4,1.71,0.04
30～99人,学術研究，専門・技術サービス業,750866,3.1,81.3,84.9,1.87,0.31
30～99人,宿泊業，飲食サービス業,65076,13,84.4,72.9,0.41,0.02
30～99人,生活関連サービス業，娯楽業,220342,5.3,90.9,92,0.94,-0.08
30～99人,教育，学習支援業,489661,-0.4,100,100,1.69,0.03
30～99人,医療，福祉,297755,-4.3,77.8,74.8,1.11,-0.15
30～99人,複合サービス事業,×,×,×,×,×,×
30～99人,サービス業（他に分類されないもの）,310023,0.2,86.3,93.7,1.24,0.21
100～499人,調査産業計,555577,0.7,93.2,93.3,1.49,0
100～499人,建設業,590321,-9.6,100,100,1.87,0.16
100～499人,製造業,869264,24.8,96.6,95.9,2.01,0.38
100～499人,電気・ガス・熱供給・水道業,×,×,×,×,×,×
100～499人,情報通信業,503721,-7.2,96,96.5,1.58,-0.11
100～499人,運輸業，郵便業,569357,3.5,94.5,96.5,1.42,-0.02
100～499人,卸売業，小売業,678390,3,93.6,94,1.55,-0.05
100～499人,"金融業,保険業",801052,-5.9,94.4,92.4,2.07,-0.01
100～499人,不動産業，物品賃貸業,639122,5.5,89.5,89.2,1.88,0.04
100～499人,学術研究，専門・技術サービス業,672694,2.1,84.2,88.2,1.87,0.1
100～499人,宿泊業，飲食サービス業,315374,18.2,74.8,83.4,1.14,0.19
100～499人,生活関連サービス業，娯楽業,×,×,×,×,×,×
100～499人,教育，学習支援業,808026,-10.5,92.8,97.3,2.06,-0.22
100～499人,医療，福祉,473114,1.8,83.2,70.4,1.44,0.07
100～499人,複合サービス事業,×,×,×,×,×,×
100～499人,サービス業（他に分類されないもの）,212752,-7.8,97.1,97.7,0.75,-0.05
500人以上,調査産業計,903512,3.2,89.3,92.4,2.23,0.12
500人以上,建設業,1338818,44.8,100,100,3.17,1.02
500人以上,製造業,1105135,2.2,96.1,95.4,2.53,-0.05
500人以上,電気・ガス・熱供給・水道業,828660,-17.6,57.1,87.9,2.61,-0.1
500人以上,情報通信業,911868,1.6,100,100,2.38,0.06
500人以上,運輸業，郵便業,786063,-0.8,94.3,97.8,1.99,0.05
500人以上,卸売業，小売業,882263,-11.6,95.2,95.5,1.93,-0.23
500人以上,"金融業,保険業",928354,-1.9,89,91.1,2.11,-0.05
500人以上,不動産業，物品賃貸業,1147217,13.9,100,100,2.65,0.26
500人以上,学術研究，専門・技術サービス業,902502,3.8,75.7,64.7,2.19,0.01
500人以上,宿泊業，飲食サービス業,402013,-1.7,66.7,64.4,1.63,-0.05
500人以上,生活関連サービス業，娯楽業,×,×,×,×,×,×
500人以上,教育，学習支援業,771458,-3.3,100,100,2.14,-0.08
500人以上,医療，福祉,592017,3,100,100,1.8,0.07
500人以上,複合サービス事業,×,×,×,×,×,×
500人以上,サービス業（他に分類されないもの）,624748,23,47.9,52.5,1.79,0.15
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,,
