規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,161.6,146.4,15.2,14.9,101.4,96.6,4.8
100～499人,19.1,159.4,144.8,14.6,14.5,90.3,86.9,3.4
100人以上,19.2,160.5,145.6,14.9,14.7,95.8,91.7,4.1
30～99人,19.6,163.2,149,14.2,13.8,79.5,77.4,2.1
５～29人,19.8,163.3,151.9,11.4,12.5,74.1,71.6,2.5
30人以上,19.3,161.3,146.6,14.7,14.3,88.5,85.3,3.2
５人以上,19.4,161.8,147.9,13.9,13.5,81.8,78.9,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年５月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
