規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,478853,455892,420566,35326,22961,145305,144695,136042,8653,610
100～499人,415710,404008,376800,27208,11702,120839,118998,114011,4987,1841
100人以上,448265,430758,399365,31393,17507,131480,130174,123593,6581,1306
30～99人,392333,373833,349584,24249,18500,98509,98120,95493,2627,389
５～29人,396966,357254,339176,18078,39712,91718,91172,88533,2639,546
30人以上,432299,414509,385155,29354,17790,115832,114961,110256,4705,871
５人以上,423697,400569,373960,26609,23128,104312,103596,99878,3718,716
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
