産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.58,2.41,2.14,1.93
"鉱業,採石業,砂利採取業",2.05,1.84,2.05,1.84
建設業,0.96,1.11,0.93,0.88
製造業,1.11,0.93,1.04,0.96
電気・ガス・熱供給・水道業,0.57,2.32,0.57,2.32
情報通信業,1.5,1.55,1.37,1.58
"運輸業,郵便業",1.45,1.47,1.6,1.55
"卸売業,小売業",2.21,2.27,1.54,1.6
"金融業,保険業",1.3,1.34,1.42,1.38
"不動産業,物品賃貸業",2.67,2.07,2.16,1.86
"学術研究,専門・技術サービス業",1.77,1.23,1.53,1.19
"宿泊業,飲食サービス業",6.71,5.96,4.94,4.22
"生活関連サービス業,娯楽業",3.66,3.59,3.2,3.24
"教育,学習支援業",4.19,3.14,4.35,2.55
"医療,福祉",2.31,2.15,1.64,1.2
複合サービス事業,1.2,0.72,0.7,0.53
サービス業（他に分類されないもの）,3.47,3.31,3.76,3.47
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年５月分,,,,
第４表  規模、産業別労働異動率,,,,
