規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,7959165,4577491,3381674,142651,67894,74757,134371,66962,67409,7967445,4578423,3389022,26.3,15.6,40.7
５人以上,"鉱業,採石業,砂利採取業",1378,1056,322,38,35,3,45,38,7,1371,1053,318,－,－,－
５人以上,建設業,351185,283459,67726,1950,1493,457,2507,2050,457,350628,282902,67726,4.3,2.5,11.9
５人以上,製造業,567168,395376,171792,5381,3031,2350,5393,3304,2089,567156,395103,172053,9,3.2,22.4
５人以上,電気・ガス・熱供給・水道業,31562,26568,4994,54,52,2,251,172,79,31365,26448,4917,2.5,1.9,5.5
５人以上,情報通信業,812544,591946,220598,7717,5415,2302,12957,9337,3620,807304,588024,219280,4.2,2,10.1
５人以上,"運輸業,郵便業",460005,364030,95975,6061,4296,1765,6602,5207,1395,459464,363119,96345,13.4,10.4,24.7
５人以上,"卸売業,小売業",1666054,955463,710591,23817,11832,11985,26102,11645,14457,1663769,955650,708119,28.2,16,44.8
５人以上,"金融業,保険業",396498,206515,189983,4234,2081,2153,3938,2125,1813,396794,206471,190323,7,2,12.3
５人以上,"不動産業,物品賃貸業",211928,131174,80754,2895,1790,1105,2615,1372,1243,212208,131592,80616,15.8,8.2,28.3
５人以上,"学術研究,専門・技術サービス業",387146,254149,132997,4352,1861,2491,3706,2112,1594,387792,253898,133894,8.5,4,17
５人以上,"宿泊業,飲食サービス業",682209,303805,378404,34400,14980,19420,26859,12466,14393,689750,306319,383431,78.2,67,87.1
５人以上,"生活関連サービス業,娯楽業",237186,111561,125625,4901,1823,3078,5746,2739,3007,236341,110645,125696,47.6,40,54.3
５人以上,"教育,学習支援業",419443,190291,229152,8450,3274,5176,3714,839,2875,424179,192726,231453,35.9,29.9,40.9
５人以上,"医療,福祉",736595,197633,538962,15069,4279,10790,12229,3165,9064,739435,198747,540688,36.7,25.2,41
５人以上,複合サービス事業,37738,23361,14377,315,156,159,149,69,80,37904,23448,14456,17.4,5.7,36.2
５人以上,サービス業（他に分類されないもの）,960526,541104,419422,23017,11496,11521,21558,10322,11236,961985,542278,419707,29.5,19.9,41.9
30人以上,調査産業計,5534378,3309443,2224935,81736,41463,40273,81103,40884,40219,5535011,3310022,2224989,19.8,10.9,33
30人以上,"鉱業,採石業,砂利採取業",1378,1056,322,38,35,3,45,38,7,1371,1053,318,－,－,－
30人以上,建設業,224096,185041,39055,1308,1053,255,1700,1445,255,223704,184649,39055,2.8,1.5,9.2
30人以上,製造業,416546,289823,126723,3649,1904,1745,3459,2245,1214,416736,289482,127254,7.1,2.1,18.5
30人以上,電気・ガス・熱供給・水道業,28505,23898,4607,54,52,2,119,40,79,28440,23910,4530,1.9,1.3,4.9
30人以上,情報通信業,710428,524266,186162,7078,5061,2017,11593,8873,2720,705913,520454,185459,2.9,1.1,7.9
30人以上,"運輸業,郵便業",387967,308136,79831,4535,2991,1544,4616,3221,1395,387886,307906,79980,13.2,11.3,20.3
30人以上,"卸売業,小売業",1029780,613819,415961,10350,6056,4294,11876,5596,6280,1028254,614279,413975,20.3,8.7,37.5
30人以上,"金融業,保険業",325817,170043,155774,2933,1617,1316,2837,1432,1405,325913,170228,155685,7.5,2.1,13.3
30人以上,"不動産業,物品賃貸業",140189,88723,51466,1600,970,630,1418,850,568,140371,88843,51528,12.2,7.4,20.6
30人以上,"学術研究,専門・技術サービス業",280023,192549,87474,2963,1240,1723,2237,1101,1136,280749,192688,88061,7.5,3.7,16
30人以上,"宿泊業,飲食サービス業",226248,99385,126863,8856,3910,4946,8013,3304,4709,227091,99991,127100,67.5,54.7,77.6
30人以上,"生活関連サービス業,娯楽業",126559,54252,72307,2689,838,1851,2470,715,1755,126778,54375,72403,47,38.3,53.5
30人以上,"教育,学習支援業",326327,153254,173073,6673,2557,4116,2775,622,2153,330225,155189,175036,30.9,24,37
30人以上,"医療,福祉",474963,148554,326409,8308,2855,5453,8219,2352,5867,475052,149057,325995,29.7,21,33.7
30人以上,複合サービス事業,24670,18278,6392,84,53,31,107,27,80,24647,18304,6343,13.7,5,38.9
30人以上,サービス業（他に分類されないもの）,810882,438366,372516,20618,10271,10347,19619,9023,10596,811881,439614,372267,31.6,21.6,43.4
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１１月分,,,,,,,,,,,,,,,,
第３表  規模、産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
