産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.34,2.52,2.17,2.3
"鉱業,採石業,砂利採取業",×,×,×,×
建設業,1.8,1.26,1.65,1.24
製造業,1.5,1.84,1.6,2.04
電気・ガス・熱供給・水道業,×,×,×,×
情報通信業,1.47,1.85,1.34,1.8
"運輸業,郵便業",1.5,2.07,1.54,2.28
"卸売業,小売業",2.11,2.03,1.63,1.68
"金融業,保険業",2.35,2.24,2.12,2.07
"不動産業,物品賃貸業",2.15,2.41,1.97,1.51
"学術研究,専門・技術サービス業",1.66,1.46,1.66,1.33
"宿泊業,飲食サービス業",4.1,5.1,3.99,3.96
"生活関連サービス業,娯楽業",3.17,3.59,2.76,2.62
"教育,学習支援業",4.35,3.26,4.87,3.61
"医療,福祉",1.86,2.05,1.68,1.79
複合サービス事業,1.9,1.15,1.66,1.04
サービス業（他に分類されないもの）,3.01,3.6,3.28,3.88
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１０月分,,,,
第４表  規模、産業別労働異動率,,,,
